"","Artista","Obra","Fecha","Texto","Tema"
"1","Lucas  Cranach  el Viejo","La Virgen y el Niño con un racimo de uvas","hacia 1509 - 1510","
                Lucas Cranach, una de las figuras artísticas más importantes del Renacimiento alemán, estuvo muy vinculado a las ideas de la Reforma, aunque su amistad con Lutero no supuso inconveniente alguno para que siguiera pintando escenas religiosas destinadas a una clientela católica. En esta obra nos presenta en primer término a la Virgen cuyo rostro, modelado suavemente, recuerda el esfumado leonardesco. En el murete situado tras ella se aprecia una diminuta serpiente alada, su característica firma. Otro detalle digno de mención es la pequeña figura que casi pasa desapercibida, subiendo por el empinado sendero, y que se ha identificado con san José. Sin embargo, el símbolo que retiene nuestra atención es el racimo que sostiene la Virgen, relacionado con la Eucaristía y con el papel de redentor de Jesús.
El cristianismo, al igual que el judaísmo y las religiones paganas clásicas, otorgó un significado muy especial a la vid. La tradición heredada de Egipto y Mesopotamia se refleja en la Biblia, que hace del vino un símbolo central de alegría, de vida y de fertilidad, un don especial de la divinidad a los seres humanos. La cepa, con sus sarmientos, pámpanos y uvas, las viñas y el vino están muy presentes en las metáforas y parábolas del Antiguo y del Nuevo Testamento: según algunos cálculos la vid y el vino se citan casi cuatrocientas veces en la Biblia. Tal abundancia se explica porque los textos sagrados se dirigían inicialmente a públicos para los que las labores asociadas a la viticultura y a la vinificación eran ampliamente conocidas.
El lugar central otorgado al vino, junto con el pan, en la eucaristía lo convirtió en un elemento imprescindible del culto. Razón por la cual se producía vino allí donde se levantaban templos cristianos, al menos hasta el siglo XII, cuando dejaron de ser obligatorias las dos especies en la comunión de los fieles, aunque no en la consagración y comunión del sacerdote. Los reformadores protestantes no introdujeron ningún cambio desde este punto de vista: es más, recomendaron que todos los fieles comulgasen bajo las dos especies y compartiesen un mismo cáliz. Por ello cualquier cristiano, aunque viviese en lugares donde no se cultivaba, podía reconocer en los elementos de la vid símbolos de la promesa de vida eterna.
El racimo de uvas, en un contexto semejante, aparece en otras dos obras de la Colección: La Sagrada Familia con un ángel, de Jacob Jordaens y su taller (c.1625-1629) y La Sagrada Familia con ángeles y santos, de Joachim Antonisz. Wtewael (c.1606-1610), ambas en la sala 20.
            ","vino"
"2","Christoph Amberger","Retrato de Matthäus Schwarz","1542","
                El retrato de Matthaüs Schwarz ofrece algunos detalles fascinantes: en el alfeizar, la copa alude a sus orígenes familiares, pues era hijo de un comerciante de vinos. Junto a ella destaca una hoja de papel en la que el artista dejó constancia de la fecha y hora de nacimiento del retratado, la de la realización de la pintura y la edad de Schwarz en el momento de ser pintado: cuarenta y cinco años y treinta días, anotaciones que se corresponden con el horóscopo del cliente, visible en el celaje que se percibe a través de la ventana.
A este singular personaje se debe un interesante libro conocido con el nombre de Trachtenbuch (hoy en el Herzog Anton Ulrich-Museum de Brunswick). El manuscrito, de perfil biográfico, contiene ciento treinta y siete ilustraciones en las que se describen los episodios más señalados de su vida. Por él sabemos de su escasa afición por los estudios, que impulsará a su padre a procurarle un trabajo en el negocio familiar como catador de vinos a la precoz edad de quince años. Posteriormente se dedicó con éxito a llevar la contabilidad de los Fugger, poderosos banqueros, y fue ennoblecido por Carlos V un año antes de la ejecución de esta pintura.
El vino ha sido un objeto de comercio desde fechas muy tempranas. Una comarca dedicada a la producción de cereales puede dedicar el grueso del fruto obtenido al autoconsumo pero no ocurre lo mismo con el vino: «No se bebe la vendimia como se come la cosecha», decía hace ya décadas el historiador francés Camille-Ernest Labrousse(1895-1988).
Con la caída del Imperio romano, la producción y el consumo vinícola experimentaron un claro retroceso en Occidente, aunque no desaparecieron gracias a los monasterios y a la nobleza. Siguiendo la tendencia general de expansión comercial, las transacciones de vino experimentaron un claro crecimiento a partir del siglo XVI, cuando la agronomía romana fue recuperada y difundida por múltiples obras, que contribuyeron a cambios en las prácticas culturales y vinificadoras.
Entre los comerciantes de vino había desde luego diferentes posiciones sociales: poco tenía que ver el rico padre de Schwartz, que había alcanzado una elevada posición en Augsburgo, con vinateros que practicaban la arriería o con los taberneros. Pero del conjunto del sector, se pue- de decir que fue en muchos países la base de grandes fortunas y patrimonios modernos, un componente importante del capital mercantil, del que nacería en el siglo XVIII el industrial. 
            ","vino"
"3","Anónimo alemán activo en Suabia c. 1515","Santa Isabel ofreciendo pan y vino a los mendigos (Ala exterior derecha)","hacia 1515","
                Esta maravillosa tabla formaba un tríptico cuyo motivo central pudo ser un grupo de esculturas exentas, en madera policromada. En las alas exteriores de este conjunto están representados santa Ana, la Virgen y el Niño, tema que icono gráficamente se conoce como «la triple Ana», muy popular en Alemania durante los siglos XV y XVI, y santa Isabel de Hungría, que vivió en la primera mitad del siglo XIII, representada con sus atributos: el pan y el jarro, que ofrece a los tullidos sentados a sus pies, mientras que el peine que sostiene en su mano alude a su papel como protectora de los tiñosos.
En las prácticas caritativas de conventos y monasterios y en los menús de hospitales, asilos y hospicios fue habitual desde la Edad Media en adelante el reparto de vino, considerado no como algo superfluo, sino más bien como sustancia nutritiva y reconfortante pues, como reza el proverbio bíblico: «Dad bebida fuerte al que está pereciendo, y vino a los amargados de alma. Que beba y se olvide de su pobreza, y no recuerde más su aflicción» (Pr 31:6, 7).
Además de las virtudes terapéuticas que se le atribuía, la inclusión del vino entre los alimentos suministrados a los pobres y los enfermos respondía a diversas consideraciones. De entrada, el hecho de que muchas instituciones religiosas, en especial los monasterios y conventos mediterráneos, disponían de reservas de vino y un número significativo lo elaboraban a partir de sus viñedos. El vino era además junto con el pan el símbolo eucarístico de la salvación cristiana, de manera que dar pan y vino suponía aunar salvación material y espiritual. En tercer lugar, en un mundo en el que no existían sistemas de depuración del agua, a menudo la calidad de esta, sobre todo en las ciudades pero también en muchos pueblos, dejaba mucho que desear y a menudo transmitía enfermedades, el vino se consideraba una bebida higiénica, de pureza garantizada si reunía determinados rasgos. Los estudios actuales han demostrado que la mezcla de una determinada cantidad de vino en el agua, una práctica muy extendida en el consumo popular, podía acabar con las bacterias causantes de las fiebres tifoideas y aminorar su impacto. En una Europa sin alcantarillado el vino jugó realmente un papel preventivo de importancia.
            ","vino"
"4","Anónimo veneciano","La Última Cena","hacia 1570","
                Dentro de la tradición cristiana, es en la Última Cena donde el vino asume su más elevado simbolismo al constituir, junto con el pan, el elemento central del rito de la Eucaristía.
A menudo, los artistas situaban la escena en escenarios de su propia época, por lo que esta no correspondía históricamente al cenáculo en el que hubo de desarrollarse este episodio. Así, la tabla de este mismo tema que se exhibe en la sala 3, atribuida a un seguidor del Maestro de la Virgo inter Virgines (c. 1485), muestra a Jesús y a sus apóstoles congregados en un decorado tardogótico, mientras que este lienzo veneciano traslada la Última Cena a un palacio de la Italia renacentista, tanto en los elementos arquitectónicos del fondo como en la disposición de la mesa y los criados. Y sin lugar a dudas, en una mesa aristocrática del Renacimiento no podía faltar el vino.
Desde la Antigüedad, el vino ha sido un elemento inseparable de los banquetes de la clase alta. El tipo de vino, su calidad y la forma de consumirlo han servido para marcar distancias sociales y distinguir a las elites del pueblo.
Aunque ha habido cambios importantes en las jerarquías de prestigio de los vinos, cabe encontrar algunos rasgos comunes. Durante la Edad Media y el Renacimiento, los vinos blancos dulces y de elevado grado alcohólico (sobre todo los moscateles y malvasías) fueron los favoritos de las buenas mesas: en los llamados vinos de honor, se recurría con frecuencia a vinos importados de ultramar, que en sí mismos constituían siempre un lujo. No obstante, los vinos exóticos, los vinos limpios y puros (sin la adición de agua tan frecuente en las mesas populares) eran generalmente los preferidos por las elites.
Entre el siglo XVI y finales del XVIII, los vinos blancos fueron considerados más aptos para quienes realizaban tareas intelectuales, frente a los tintos, que eran recomendados a los que ejecutaban trabajos físicos. Los claretes y los tintos, en especial los generosos, fueron sin embargo ganando el favor de la aristocracia, sobre todo en los países no productores. El añadido de alcohol era una garantía de buena conservación: de ahí la fama del oporto, el marsala, el madeira, Málaga, entre otros. 
            ","vino"
"5","Orazio Gentileschi (taller de)","Lot y sus hijas","hacia 1621 - 1623","
                Orazio Gentileschi, cuya obra se vio influida por las nuevas ideas impulsadas Por Caravaggio, ejecutó numerosas versiones de temas que ya había desarrollado con anterioridad, como el representado en este lienzo, extraído del Génesis. Tras su huida de Sodoma, Lot se refugia con sus hijas en una caverna en el monte. Allí las dos muchachas, ante el temor de no tener sucesores, deciden, de común acuerdo y por sugerencia de la mayor, embriagar al anciano padre para asegurarse la descendencia y contribuir a la perpetuación de su estirpe.
Eludiendo los aspectos más escabrosos del pasaje se ha representado a Lot dormido entre sus hijas. Solo el recipiente que contenía el vino y la venera dorada que se empleó para beberlo parecen estar dotados de un cierto simbolismo sexual. Precisamente, una teoría considera que el término vino derivaría del sánscrito vana(amor) —con el que al parecer están emparentadas Venus y venera—, en una relación semántica basada en la secular creencia en sus Virtudes afrodisíacas. De esta primitiva raíz procedería el griego oinos y, de ahí, el latín vinum.
La historia de Lot sirvió durante muchos años de ejemplo para mostrar las negativas consecuencias de la bebida sin moderación: el comportamiento brutal, irrespetuoso de cualquier tabú y «bestial» del borracho se asociaba, en los sermones y prédicas cristianas, al incesto de Lot. La Biblia, que hace del vino un componente fundamental de la vida material y simbólica del cristianismo, condena tajantemente en diversos pasajes la embriaguez y el exceso en la bebida.
Igualmente cabe encontrar alabanzas del consumo prudente del vino en filósofos y escritores como Platón, Aristóteles, Horacio, Séneca, Apuleyo, entre otros. Aunque también recuerdan al lector que el alcohol elimina el temor a los demás y que puede hacer perder la conciencia y liberar lo peor de cada individuo. La templanza, una de las virtudes de la tradición clásica y una virtud cardinal para parte del pensamiento católico, tiende a tener en la moderación en la bebida una de sus plasmaciones más recurrentes.
El mismo tema inspira un lienzo de Bernardo Cavallino, en la Colección Carmen Thyssen-Bornemisza, que forma pareja con La embriaguez de Noé otro pasaje bíblico que gozó de gran popularidad en época postconciliar debido a su carácter moralizante.
 
            ","vino"
"6","Tommaso Salini","Joven campesino con una garrafa","hacia 1610","
                En esta obra de Tommaso Salini, pintor especializado en naturalezas muertas, la asociación entre las coles y la garrafa que sostiene el muchacho quizás se refiera a la creencia, trasmitida por Platina, humanista del siglo XV y autor de un tratado de cocina titulado Del placer honorable y de la salud, de que la col era una excelente cura para la borrachera, además de «ser muy eficaz, mezclada con vino, para contrarrestar la mordedura de un perro rabioso».
De hecho, no fueron pocos los textos médicos que, hasta el siglo XIX, contenían indicaciones sobre los vinos adecuados para cada uno de los temperamentos (sanguíneos, coléricos, flemáticos, melancólicos). Asimismo, en los textos de fármaco pea medieval y moderna, un elevado número de recetas incluían entre los ingredientes de los remedios curativos cantidades diversas de vinos tintos o blancos. Lo mismo ocurre en lo que podríamos llamar medicina popular. Todavía en 1846 el reputado higienista español Felipe Monlau señalaba que «el vino [] es un artículo de primera necesidad para muchos, un condimento y un medicamento para todos».
Hay que recordar, igualmente, la existencia desde el siglo XIX de vinos específicamente medicinales, de alta graduación y con algunos componentes añadidos (hierbas o especias). U nos vinos licorosos que, paradójicamente, se escapaban de la definición de vino natural y que eran presentados como sanos.
Se pensaba además que el vino era un eficaz desinfectante tópico, como se deduce por ejemplo de la parábola del buen samaritano (en la Sala 14 podrá contemplar una representación de este episodio bíblico por el taller de Domenico Fetti).
            ","vino"
"7","Sebastiano Ricci","Baco y Ariadna","hacia 1691 - 1694","
                Sebastiano Ricci ha representado en este lienzo los esponsales de Baco, nombre con el que fue conocido en Roma el dios griego Dionisos, con Ariadna, hija del rey Minos de Creta. Como cuenta el poeta Ovidio en Las Metamorfosis, la muchacha logró recuperar la alegría en sus brazos tras ser abandonada en la isla de Naxos por el ingrato Teseo, al que había ayudado a salir del laberinto del Minotauro gracias a un ovillo. En el séquito que les acompaña, Ricci ha incluido al tigre y a la pantera, animales que habitualmente tiran del carro del dios, además de otros personajes ligados a él, como los putti, el sátiro que toca la pandereta y las ménades —también conocidas como bacantes— que representan, con su exuberante energía, el espectáculo de la fuerza vital que anima a la naturaleza.
Según el relato mítico, Baco, señor de la ebriedad, fue el creador de la cepa e hizo brotar del suelo leche, miel y vino, «la delicia de los mortales» —en palabras de Homero—, cuyo efecto embriagador liberó a los hombres de sus preocupaciones. Sin embargo, los testimonios arqueológicos indican que el vino se produjo por primera vez durante el Neolítico, de manera seguramente accidental, en la región que hoy ocupan Georgia, Armenia e Irán. Es posible que los secretos de su elaboración llegaran desde Egipto a Grecia a través de Creta o quizás desde Asia Menor o Tracia.
Las fiestas en honor a Dionisos, en el tiempo de la vendimia, se convirtieron en Grecia en concurridas celebraciones con una amplia participación. Gradualmente se crearon otras fiestas dionisiacas en diferentes fechas, caracterizadas por el consumo amplio de vino y, en el caso de los misterios dionisiacos, por la suspensión de las normas de comportamiento sexual convencionales. Los misterios dionisiacos fueron introducidos en Italia por los etruscos. Dionisos, conocido como Baco en el mundo romano,y su culto, las bacanales, llegó a ser considerado peligroso, por lo que estas fiestas fueron prohibidas por las autoridades romanas, aunque reaparecieron a lo largo de la historia romana y se trasladaron incluso a los reinos bárbaros surgidos tras la caída del Imperio, por más que la Iglesia condenara y reprimiera esas fiestas paganas. Muchos autores destacan la impronta báquica de los Carnavales y de otras fiestas populares, de aparente sentido cristiano. Durante el Renacimiento, la figura de Baco y de la bacanal, convertidas en símbolos ambiguos de la celebración de la vida pero también de la depravación, fueron recuperadas por el arte y la literatura y objeto de múltiples representaciones con diferentes objetivos.
En la sala anterior se exhibe la obra de Giulio Carpioni, Bacanal (1660-1665), en la que se presenta al dios, coronado con las hojas de vid, tumbado entre un grupo que celebra entre ruinas sus ritos orgiásticos. 
            ","vino"
"8","David Teniers II y Jan van  Kessel I","La rendición de los rebeldes sicilianos a Antonio de Moncada en 1411","1663","
                Este cobre es el resultado de la cooperación entre dos pintores: David Teniers II, que realizó las escenas con las figuras, y Jan van Kessel I, quien ejecutó las cenefas decorativas que enmarcan dos episodios, de un ciclo de veinte, que narran las hazañas de los hermanos Guillermo Ramón Moncada y Antonio Moncada, nobles sicilianos de origen español.
En la orla que encuadra el episodio histórico, los distintos objetos configuran una alegoría de los cinco sentidos: los instrumentos musicales y las exóticas aves cantoras representan el oído, el contraste entre el acerado brillo de las armaduras y la suavidad de los lazos y colgaduras nos remite al tacto, las flores y coronas son símbolo del olfato y el juguetón amorcillo que sostiene una copa de vino junto a unas garrafas alude, cómo no, al gusto, mientras que el cromatismo contribuye al esplendor visual de la propia obra de arte.
Entre los autores griegos y romanos se estableció un lenguaje básico para hablar del gusto del vino, el cual fue redescubierto en la Baja Edad Media y se convirtió en lugar común en el Renacimiento. A partir de la clasificación de Aristóteles, que distinguía unas categorías muy parecidas a las actuales de dulce, salado, amargo y ácido, se definía el gusto de los vinos en el Renacimiento y en el resto de la Edad Moderna cuando se multiplicaron los tratados sobre vinos o los relatos de viajes en los que se aludía al mismo. Pero además el gusto y el olfato permitían identificar si un vino era excelente, bueno, mediocre o malo, por una parte, y si era apropiado para el bebedor y sus circunstancias personales, por otra. Lo primero era muy relevante porque muchos de los vinos se conservaban poco tiempo y por lo tanto lo primero que había que determinar era si un vino se hallaba enfermo o no, y al tiempo si había sido modificado mediante la adición de sustancias externas (desde agua hasta colorantes, pasando por diferentes sabores). Lo segundo tenía que ver con la visión hipocrática-galénica de los humores-temperamentos y el papel terapéutico del vino como alimento cálido, en diferentes grados, que podía equilibrar los humores y preservar o restablecer la salud, y debía en consecuencia corresponderse con los rasgos fisiológicos del bebedor.
Hasta el siglo XIX, se mantuvo este lenguaje básico de descripción de los sabores del vino en función de las categorías simples del gusto, de la bondad apreciada por los catadores y de la adecuación potencial del vino a diferentes personas en distintas situaciones. No cabe encontrar en los textos modernos el despliegue de símiles y metáforas que en nuestros días describe la experiencia gustativa y olfativa de beber vino. En el siglo XIX, la química orgánica empezó a interesarse por las sustancias existentes en los vinos que les otorgaban su gusto: el éter enántico, los aceites etéreos, por ejemplo. Paralelamente, los críticos gastronómicos y enológicos crearon un vocabulario más amplio que trataba de expresar características organolépticas de los vinos. André Jullien publicó en 1816 su Topographie de tous les vignobles connus,en el que presentó un vocabulario que sería reutilizado por muchos autores durante el resto del siglo. Todos los términos de Jullien siguieron empleándose a lo largo del siglo y fueron completados por otros en los diferentes idiomas, al tiempo que se desarrollaban formas literarias que, más que describir sabores, trataban de evocar sus características y sus efectos sobre el bebedor. Pero también permanecieron las viejas categorías de bondad subjetiva, sin precisiones ni descripciones adicionales, en las que la fiabilidad se otorgaba al gusto reconocido de los que las emitían.
Únicamente en el periodo posterior a la Segunda Guerra Mundial, sobre todo a partir de la década de 1960, surgió un amplísimo vocabulario que de forma gradual fue complicando la descripción de los sabores-olores y remitiéndolos a componentes objetivos del vino. Los enólogos de la Universidad de Davis, en California, en los años setenta, con su Wine Aroma Wheel, y el enólogo francés, Émile Peynaud, cuyo libro Le goût du vin fue publicado en 1983, están detrás de este proceso de construcción de un lenguaje amplio, con vocación de objetividad, que se ha completado con la construcción de índices precisos para la medida de la cualidades gustativas de los vinos, entre los que el más conocido es el de Parker. 
            ","vino"
"9","Caesar van Everdingen","Vertumno y Pomona","1637 - 1640","
                Pomona, diosa romana de los jardines y las huertas, se asociaba especialmente con el olivo y la vid, los cuales, junto con los cereales, forman la tríada mediterránea. La patrona pomorum o Señora de los Frutos tutelaba el mes de septiembre, pues es entonces cuando madura la fruta.
Según cuenta Ovidio en Las Metamorfosis, la arisca joven rechazaba los avances de sus compañeros los dioses campestres. Pero Vertumno, divinidad de los cambios estacionales, recurrió a un ardid para ganarse su confianza: disfrazado de anciana fue a felicitarla por las frutas de sus árboles y, tras mostrarle un olmo enlazado por una vid —símbolo de unión entre los amantes—, le contó la triste historia de amor de Anaxárete. Conmovida, Pomona se arrojó a sus brazos y fue entonces cuando Vertumno le reveló su verdadero rostro y logró cautivar a la diosa. La historia, muy popular en la pintura holandesa, podría llevar implícita una advertencia hacia las jóvenes para que desconfíen de los engaños de la seducción, aunque también contenía una reflexión sobre el propio carácter ilusionista de la pintura. Entre los cuadros del recorrido, este es uno de los pocos que nos permite hablar del proceso productivo del vino, a causa del cuchillo de vendimiar, atributo de la diosa, que se aprecia en la composición de Van Everdingen, situado cerca de unos pámpanos. Hasta bien entrado el siglo XIX, los cuchillos o navajas eran el instrumento más habitual para cortar los racimos. Las tijeras, más exactas en su corte y de empleo más fácil y rápido, eran hasta mediados del siglo XIX, cuando se extendieron los primeros sistemas de producción industrial, instrumentos relativamente caros, inasequibles para muchas familias de viñateros o al menos demasiado costosas para ser empleadas de forma masiva en el curso de la vendimia. Hay que recordar que la vendimia era una labor que exigía relativa rapidez: prolongarla no solo aumentaba los riesgos de accidentes meteorológicos indeseables para la calidad de la uva (como la lluvia, las heladas), sino que podía conducir a procesos de fermentación discontinuos, de muy negativas consecuencias sobre el vino. Por ello se trataba, y se trata (pese a los avances de la mecanización), de una tarea intensiva en cuanto a mano de obra, de hecho se contrataba a jornaleros, en ocasiones venidos de lejos. Cada vendimiador aportaba por lo general su navaja o su cuchillo, instrumentos de múltiples usos e imprescindible en la vida rural, con lo que abarataba sustancialmente la operación. 
            ","vino"
"10","David Teniers II","Fiesta campesina","hacia 1650","
                Un tratadista de la época, en la que se pintó esta obra, escribió: «El vicio de los habitantes de los Países Bajos es el exceso en la bebida, aunque en cierta medida se puede excusar a causa del clima, húmedo y melancólico». Las escenas festivas, al aire libre, con aldeanos y campesinos en sus momentos de ocio, entregados a sus pasatiempos favoritos, el baile y la bebida, se convirtieron en un género muy popular en los Países Bajos durante el siglo XVII, como testimonian otras obras de esta misma sala, como Boda campesina (c. 1649-1655), atribuida a Jan Havicksz. Steen, o Escena aldeana con hombres bebiendo (c.1631-1635), atribuida a Adriaen Brouwer. En ellas, el vino o la cerveza se convierten en elementos imprescindibles para reforzar lazos sociales, sellar tratos o, simplemente, manifestar la alegría de vivir.
Si durante el periodo preindustrial las mesas de nobles y patricios urbanos combinaban vinos de lujo, importados de otros países, con los vinos más sanos de entre los locales, donde los había, las mesas plebeyas también tenían sus propias formas de consumo. Desde luego en este terreno las diferencias entre las zonas productoras y las demás eran muy grandes. Donde había viñas, la cantidad consumida de vino era alta: en unos casos porque se trataba de la cosecha propia que no se vendía y en otros porque parte de las labores por cuenta ajena se remuneraban en especies. Aun así, los hogares pobres no tenían mucha capacidad de almacenamiento, y los jornales en especie y dinero no se prolongaban todo el año. Por ello, y porque era una forma de alargar la cantidad de vino, evitar la borrachera y conciliar la bebida con el trabajo físico, lo más frecuente era mezclar el vino con agua. También se recurría a los aguapiés, es decir, vinos inferiores obtenidos mediante la adición de agua a los hollejos pisados o a los restos del prensado.
El éxito de este tipo de escenas de género en la cultura visual neerlandesa de los siglos XVI y XVII se ha relacionado con el auge del mercado artístico vinculado a la burguesía urbana, que vería reflejadas en ellas ciertas preocupaciones éticas o sociales. El asunto, con su repertorio de personajes toscos y ruidosos que se dedican a beber sin freno, podría llevar implícito una crítica moralizante hacia los excesos y la falta de decoro. Pero, además de su posible propósito edificante, ha sido objeto de otras lecturas.
Tales escenas nos ofrecen, simultáneamente, una visión utópica y populista del mundo. Si las comparamos con el gran retrato de grupo de Franz Hals en el otro extremo de la sala, Grupo familiar ante un paisaje(c.1645-1648), quizás percibamos el contraste con el lenguaje más estructurado de la cultura oficial, dominado por las diferencias de rango y de privilegio inherentes a la jerarquía social. La fiesta popular supone una suspensión temporal del orden establecido y, a través de imágenes de exuberancia, una exaltación comunitaria de la fertilidad, el crecimiento y la abundancia, que nos recuerda la permanente tensión entre lo apolíneo y lo dionisíaco en la conducta humana. Como escribió el filósofo William James: «La sobriedad limita, discrimina y dice no; la ebriedad expande, une y dice sí». 
            ","vino"
