"","Artista","Obra","Fecha","Texto","Tema"
"1"," Jan van Kessel III (atribuido a)","Vista de la Carrera de San Jerónimo y el Paseo del Prado con cortejo de carrozas","1686","
                Este recorrido gastronómico concluye ante una vista de la confluencia entre la Carrera de San Jerónimo y el Paseo del Prado, el lugar donde en la actualidad se encuentra el Museo Thyssen-Bornemisza. La pintura ofrece una visión de esta zona tal y como debía de ser en los años del reinado de Carlos II. Allí acudía la sociedad elegante de la capital, pero también los miembros de las clases populares, para ver y ser vistos, celebrar meriendas y festejos e intercambiar noticias.
Las fuentes y los aguadores eran comunes en las calles de Madrid antes de que las viviendas tuvieran un suministro de agua corriente. Según un Tratado sobre el agua, fechado en 1637, «una de las grandes virtudes de los españoles es que beben mucha agua, al no ser tan aficionados al vino como otros europeos».
Si el visitante examina el lienzo con atención, descubrirá asimismo una churrera. Las vendedoras de churros y porras, las denominadas «frutas de sartén» de origen árabe, tan populares en la repostería española y muy difundidas por Latinoamérica, ya no son figuras habituales en las calles madrileñas, pero su imagen evoca un rico legado gastronómico que, al igual que el patrimonio artístico, es un bien inalienable que habremos de conservar y valorar.
            ","gastronomía"
"2","Maestro de la Virgo inter Virgines (seguidor del)","La Última Cena","hacia 1485","
                En esta representación de la última Cena, durante la cual se sella una Nueva Alianza entre Dios y los hombres con la institución de la Eucaristía, Cristo, con san Juan en su regazo, da a Judas el pan mojado en vino, identificando de este modo a quien lo iba a entregar horas después.
Durante la Pascua judía se conmemoraba la liberación del pueblo de Israel de la esclavitud en Egipto. Su nombre, Pesah, significa «salto» por el «salto que dio Dios sobre las casas del pueblo de Israel», cuyas jambas y dinteles habían sido pintadas con sangre de cordero para así salvar a sus primogénitos de la plaga que acabaría diezmando a los egipcios. Durante su celebración, los alimentos adquieren una especial importancia simbólica al rememorar las experiencias de la esclavitud, el éxodo y la libertad.
Aunque la Biblia no nos proporciona detalles sobre el menú, pues los Evangelios mencionan sólo el pan y el vino, convertidos en alimento espiritual que señala el camino hacia la vida eterna, podemos suponer que la fuente vacía en el centro de la mesa contendría un cordero, uno de los alimentos consumidos durante la Pascua, prefiguración —según la óptica cristiana— del sacrificio de Jesús, que se ofrece como víctima para la salvación de la humanidad. En algunas obras del Renacimiento, sin embargo, se opta por alternativas curiosas: Duccio di Buoninsegna, en una tabla destinada a la Maestà de la catedral de Siena, representa un cochinillo, criatura impura de acuerdo con la ley mosaica; Zanino di Pietro, en un fresco de San Giorgio en San Polo di Piave, pinta cangrejos de río; y Leonardo da Vinci, en la Última Cena más famosa de toda la Historia, un plato con lo que parece ser una anguila, animales igualmente proscritos por los preceptos judíos. Quizás se trate de una alusión al rechazo por parte del cristianismo de la distinción entre alimentos puros e impuros propia de los hebreos.
            ","gastronomía"
"3","Paris Bordone","Retrato de una joven","hacia 1543 - 1550","
                La dama de Paris Bordone sujeta con una cadena a un mono, animal que se asoció tradicionalmente al sentido del gusto y se convirtió en emblema de la gula. Tales alegorías, muy populares durante el manierismo y el Barroco, contenían a menudo un mensaje ambivalente, al considerar los sentidos como medios para la adquisición de conocimiento, pero también como incitación al pecado.
La opulenta belleza de la modelo sugiere el juego metafórico entre la comida y el erotismo, pues como sentenció Terencio: sine Cerere et Baco friget Venus, es decir: «sin Ceres y Baco, Venus se enfría». El binomio secular entre sensualidad y gastronomía halló eco en las creencias populares. Así, se decía que los orígenes de ciertos tipos de pasta eran antropomórficos: los tagliatelle habrían sido inventados por un cocinero a imagen de la rubia cabellera de Lucrezia Borgia, mientras que los primeros tortellini fueron modelados a partir del ombligo de una dama complaciente.
            ","gastronomía"
"4","Christoph Amberger","Retrato de Matthäus Schwarz","1542","
                A Matthaüs Schwarz, quien escribió varios tratados sobre contabilidad y estuvo al servicio de los Fugger, poderosa familia de banqueros, se debe un fascinante libro conocido con el nombre de Trachtenbuch (hoy en el Herzog Anton Ulrich Museum de Brunswick).El manuscrito, de perfil biográfico, tiene 137 ilustraciones en las que se describen los trajes más importantes que Schwarz lució a lo largo de su vida. El documento es de gran importancia, pues facilita una valiosa información sobre la moda masculina de la época. Una de estas ilustraciones le retrata desnudo, a los 29 años, junto a una anotación que reza: «he engordado y ensanchado».
La preocupación por su imagen llegaría a su culminación con motivo de la celebración de la Dieta Imperial (Reichstag,en idioma alemán) en Augsburgo en 1530, presidida por el archiduque Fernando I de Austria y su hermano, el emperador Carlos V. Schwarz encargó tres costosos modelos para la ocasión y procuró perder peso. En suma, hizo dieta para la Dieta.Cuando posó para este retrato, Matthäus había recuperado su corpulencia y quizás fueron sus excesos alimentarios los causantes de su posterior apoplejía. En el alféizar de la ventana se ha dispuesto una copa de vino tinto —una alusión, quizás, a su carácter de bon vivant o a los orígenes de la fortuna familiar en el comercio vinícola— y una hoja donde se anotan detalles del personaje en un calendario y datos astrológicos. Merece la pena destacar otro singular detalle: un horóscopo trazado en letras de oro sobre el celaje.
            ","gastronomía"
"5","Jan Gossaert (llamado Mabuse)","Adán y Eva","hacia 1507 - 1508","
                Toda la historia de la humanidad testimonia que la felicidad del hombre —pecador hambriento— depende considerablemente de cuándo comió la manzana, de la comida. (Lord Byron)
Desde el momento en que Adán y Eva probaron el fruto prohibido en el Jardín del Edén, la comida ha desempeñado un papel significativo en las Sagradas Escrituras. Cabe señalar que el texto bíblico no especifica que se tratara de una manzana, por lo que en ocasiones los artistas prefirieron representarlo como un albaricoque, un melocotón o un higo. Sí se mencionan en el Génesis las hojas de higuera en conexión con la caída, como símbolo de vergüenza por el pecado cometido.Finalmente se optó por la manzana a causa de una deriva semántica (de malum, manzana en latín, por semejanza con «mal») y por su identificación en el mundo clásico con la belleza y el placer, como testimonian ciertos mitos relativos al Jardín de las Hespérides o al Juicio de Paris, episodio al que podría aludir el cesto con manzanas representado en Las cosquillas de Pietro Longhi, obra expuesta en la Sala 18.
            ","gastronomía"
"6","Anónimo veneciano","La Última Cena","hacia 1570","
                En su Diccionario de cocina, Alejandro Dumas (1802-1870) se pregunta: «¿Debemos acaso a las especias las obras maestras de Tiziano? Estoy tentado de creer que así es». El brillante colorido de los artistas venecianos eclosiona en un ambiente dominado por el brillo inestable del agua, el fulgor de los mosaicos y las sedas venidas de Oriente. Frente a la parsimoniosa simplicidad de la Última Cena de la Sala 3, este lienzo nos muestra un suntuoso banquete dentro de una refinada escenografía teatral en la que aparecen elementos seculares, como los sirvientes o los animales domésticos, que solían dar buena cuenta de los desperdicios arrojados al suelo.
En el ambiente de la cultura humanista, que elevó las aspiraciones de los artistas en busca de un mayor reconocimiento intelectual y social, surgen algunos célebres cocineros y autores de tratados gastronómicos, como Cervio, Platina, Scappi o Messisburgo, quienes recomiendan que los alimentos sean agradables a la vista, con un bel colore. Por otra parte, el pintor y teórico Federico Zuccaro estableció en sus escritos un paralelismo entre el noble arte de la pintura y la organización de un banquete, presididos por el discernimiento, el buen gusto, la variedad y la abundancia. No menos importante que los manjares era su presentación en vajillas de plata o de mayólica, que realzaban su atractivo visual, o los trionfi da tavola (extravagantes decoraciones efímeras de azúcar, mazapán o mantequilla), en cuyo diseño participaron artistas tan afamados como Benvenuto Cellini, Giulio Romano, Giambologna y Pietro Tacca. De este escultor, autor de la estatua de Felipe IV en la madrileña Plaza de Oriente, cuenta un cronista que, durante la plaga de 1630, derritió el azúcar de sus creaciones y la mezcló con vino para fortalecer a sus ayudantes y evitar que huyeran con sus secretos de taller.
La sensibilidad y refinamiento empezaron entonces a vincularse indisolublemente a los placeres de la mesa. Los banquetes renacentistas no sólo satisfacían las necesidades nutricionales de los comensales o expresaban el status social del anfitrión; eran también un pretexto para que los invitados hicieran ostentación de sus buenas maneras y su elocuencia. Leon Battista Alberti (1404-1472), más conocido como arquitecto y tratadista, escribiría las Intercenales, una colección de piezas breves para ser leídas durante el festejo.
En 1494, un peregrino milanés se lamentaba a su paso por Venecia de la parquedad de una cena a la que había asistido: «En mi opinión, los venecianos se conforman con el sustento que les proporciona el arte». Sin duda, el genio de sus artistas ha servido de alimento para la imaginación de los habitantes de la Serenísima, quienes ya en el siglo xx rindieron homenaje a sus pintores bautizando como carpaccio a la combinación de finas láminas de carne cruda y parmesano, o bellini a un cóctel, en recuerdo del cromatismo de estos dos artistas, cuyas obras podrá admirar el visitante en la Sala 7.
            ","gastronomía"
"7","Claudio de  Lorena","Paisaje idílico con la huida a Egipto","1663","
                La atribución a Claudio de Lorena de la invención del milhojas ilustra la relación privilegiada que, a lo largo de la historia, han mantenido los artistas con la cocina.
Nacido en 1600 en la región de Lorena, Claude Gellée manifestó desde joven su afición al arte, sin embargo, al ser de origen muy pobre, su biógrafo nos cuenta que compartía su tiempo entre la pastelería de su pueblo y los pinceles. Con el tiempo pudo dedicarse a su auténtica vocación, especializándose en refinados paisajes arcádicos.
No fue éste el único personaje del ámbito artístico que se dedicó a la actividad culinaria: el pintor Andrea del Sarto reprodujo el bautisterio de Florencia a base de salchichas y queso para adornar una mesa, el arquitecto Bernardo Buontalenti —según algunos testimonios— fue el creador del gelato y Cesare Ripa, el autor de un influyente libro de emblemas, Iconología, aparece mencionado en las fuentes como trinciante o trinchador al servicio de un cardenal.
            ","gastronomía"
"8","Hendrick ter Brugghen","Esaú vendiendo su primogenitura","hacia 1627","
                Cuenta el relato del Génesis que Jacob, conocido después como Israel, «el que pelea con Dios», compró la primogenitura de su hermano Esaú por un plato de lentejas. Según la tradición, Jacob fue el segundo en nacer de los mellizos concebidos por Isaac y Rebeca. Durante el embarazo, los niños «luchaban» dentro del vientre de la madre, que recibió el mensaje divino de que dos naciones estaban formándose en su vientre, y que la representada por el hijo mayor serviría al menor. Rebeca siempre favoreció a Jacob, mientras que Isaac mostró su predilección por Esaú.
Un día Esaú llegó hambriento de la caza y le pidió a su hermano Jacob un guiso de lentejas que estaba comiendo. Éste, por consejo de su madre, le exigió el derecho de primogenitura a cambio del alimento, a lo que accedió Esaú, despreciando así los bienes espirituales que tal primogenitura implicaba por un beneficio material momentáneo y efímero. De ahí que en el habla popular se diga que alguien ha vendido su honor «por un plato de lentejas». El plato de aceitunas que lleva su anciana madre ha sido interpretado como signo de aprobación divino, pues en el Antiguo Testamento la oliva es uno de los dones de la Tierra Prometida y su aceite, un elemento básico en la liturgia.
Otra posible interpretación de este episodio gira en torno al tránsito de las sociedades cazadoras-recolectoras a las sociedades agrícolas, simbolizado en la oposición entre la pieza cobrada por Esaú y las lentejas de Jacob. Por otra parte, resulta interesante que estas legumbres, de alto valor proteico, vayan acompañadas de un cítrico, pues parece demostrado que el hierro que contienen se asimila mejor en combinación con la vitamina C que aportan las naranjas y los limones.
La suave luz de la vela contribuye a dar a la escena un aura sagrada y testimonia la fascinación de los artistas septentrionales por los efectos de la iluminación artificial, como se observa —en esta misma sala— en La Cena de Emaús (c.1633-1639) de Matthias Stom, obra en la que el pan aparece de nuevo como el alimento simbólico primordial.
            ","gastronomía"
"9","Caesar van Everdingen","Vertumno y Pomona","1637 - 1640","
                Cuenta Ovidio en Las Metamorfosis que Pomona, la diosa romana de los árboles frutales, los jardines y las huertas, no sentía ninguna atracción por los hombres, a pesar de ser requerida por todos los dioses campestres. Sólo Vertumno, divinidad del cambio estacional, la amaba de veras. Éste se valió de un ardid para ganarse su confianza: disfrazado de anciana fue a felicitarla por las frutas de sus árboles y, abrazándola de buen corazón, le reveló su verdadero rostro, resplandeciente de belleza, que logró cautivar a la joven diosa.
La historia, muy popular en la pintura holandesa, podría llevar implícita una advertencia hacia las jóvenes para que desconfíen de los engaños de la seducción, aunque también contenía quizás una reflexión sobre el propio carácter ilusionista de la pintura.
A los pies de Pomona se exhiben los frutos de sus desvelos: cítricos, higos —para los griegos, el don de Dionisos— y melones. Aunque éstos son antiquísimos pues se mencionan ya en los textos egipcios, en el Renacimiento se plantaron semillas de una variedad armenia especialmente dulce en los huertos papales de Cantalupo, cercanos a Tívoli, en los alrededores de Roma. Se dice que el Papa Pablo II murió de una indigestión de melones y que Inocencio XIII los usaba como copa para realzar el aroma del oporto.
En el siglo XVII los cantalupos se convirtieron en un manjar apreciado en Francia y en Italia, donde se cultivaban bajo una protección de vidrio para protegerlos de las inclemencias del tiempo y se regaban con agua endulzada con miel o azúcar.
            ","gastronomía"
"10","Emanuel de Witte","El antiguo mercado del pescado en el Dam, Amsterdam","hacia 1650","
                El siglo XVII fue una época de especial prosperidad para Holanda, en la que se produce una demanda inusitada de obras de arte por parte de la burguesía, que desea ver reflejados en ellas sus ideales y su forma de vida.
Las abigarradas escenas de mercado celebran con la abundancia de productos la bonanza comercial, principal fuente de riqueza de las clases adineradas, transmitiendo una sensación de bienestar que parece conjurar el fantasma del hambre.
La dama examina el género ante la atenta mirada de un perro famélico que podría en cualquier momento darle un bocado a alguno de los enormes pescados de escamas plateadas procedentes del mar del Norte. Vemos también como la niña toca la cola de otro pescado, y un detalle sorprendente es la presencia de una cigüeña que el pintor volverá a incluir en posteriores composiciones de semejante tema.
            ","gastronomía"
