"","Artista","Obra","Fecha","Texto","Tema"
"1","Claudio de  Lorena","Paisaje idílico con la huida a Egipto","1663","
                Claudio de Lorena (nacido Claude Gellée) fue uno de los primeros pintores en la historia del arte que cultivó el paisaje como género autónomo . En sus cuadros la naturaleza adquirió la dimensión de paisaje, segmento de naturaleza que se extiende hasta donde la mirada del ser humano puede abarcar. De origen francés, Lorena desarrolló gran parte de su trayectoria artística en Italia, principalmente en Roma, donde a finales de la década de 1630 ya había logrado una reputación considerable como paisajista.Lorena recogió la tradición paisajística de los artistas nórdicos establecidos en la Ciudad Eterna, quienes se habían interesado por las ruinas como motivo artístico para sus dibujos. Como para aquellos, la inspiración de Lorena fue la Campagna romana, paraje natural situado a las afueras de la ciudad, a la que se acercó con verdadera admiración estética. El pintor apenas mostró interés por el tema específico del cuadro, en este caso la Huida a Egipto, que traía a su presente insertando en el tiempo bíblico escenas cotidianas de su tiempo en el paisaje romano.Probablemente porque sus clientes eran eruditos amantes de la cultura clásica, la pintura de Lorena «trata de religión», pero no es religiosa (las figuras irán desapareciendo de las escenas hasta ser insignificantes en sus paisajes). El paraje es escenario de la reafirmación de valores (morales) asociados a la escena mitológica o al asunto histórico. Sin embargo, sus representaciones idealizadas son fruto de la invención. Claudio de Lorena no pinta solo el aspecto topográfico del campo romano. La luz que utiliza baña con efectos naturales las escenas aportando serenidad y significación poética al cuadro. Asimismo, el artista funde en sus paisajes los recuerdos de las diferentes ciudades italianas que él mismo había visitado (Nápoles, Capri, Civitavecchia, Génova, etc.). Las ruinas arquitectónicas evocan en su pintura la edad dorada de los tiempos en los que Eneas desembarcó y fundó Roma, descrita en los poemas de Virgilio, desencadenando un sentimiento de nostalgia de la grandeza perdida.Si bien estas imágenes nos presentan una mirada idealizada y estetizada sobre la naturaleza, los paisajes de Lorena no dejan de inspirar hoy una relación armoniosa entre cultura y naturaleza, un encuentro que equivale a vivir en la naturaleza y no de ella y que requiere de sociedades comprometidas con la protección del patrimonio cultural y con la preservación del medioambiente con el objetivo de frenar el cambio climático.
            ","sostenibilidad"
"2","Canaletto (Giovanni Antonio Canal)","El Gran Canal desde San Vío, Venecia","hacia 1723 - 1724","
                Desde sus orígenes, la historia de Venecia ha estado ligada al agua. Durante los siglos V a VII d.C., la laguna natural sobre la que se asienta sirvió de refugio para aquellos pueblos que huían de los bárbaros. Entonces, se levantaron los primeros palafitos, se agrandaron las islas y se drenó la laguna, naciendo así los famosos canales. Su inmejorable emplazamiento le proporcionó un próspero desarrollo económico vinculado a las tecnologías del mar y al comercio marítimo entre Oriente y Occidente. La abundante acumulación de riquezas convirtió a Venecia en una ciudad refinada y sofisticada que se vio particularmente reflejada en el esplendor de su patrimonio histórico-artístico.Con la aparición de nuevas rutas marítimas hacia el Nuevo Mundo, la Serenísima entró en una decadente situación económica y política. Sin embargo, la despreocupada vida social veneciana no cesó, pues se podía disfrutar de fiestas (carnaval), espectáculos de teatro y diversiones que estaban destinados a atraer extranjeros a la Laguna.En esta compleja realidad urbana y social apareció el fenómeno del vedutismo, género pictórico de vistas de la ciudad, que adquirió especial relevancia con Canaletto gracias a su capacidad para integrar las estructuras y vida urbanas. En El Gran Canal desde San Vio, Venecia el pintor italiano se sitúa en un punto elevado y dirige la perspectiva hacia San Marcos para mostrar con precisión topográfica los lugares de interés de Venecia al mismo tiempo que recoge el ambiente de la gente atareada u ociosa que habita la ciudad. No obstante, Canaletto hace uso de la invención. En sus imágenes Venecia permanece inmune al paso del tiempo. En sus pinturas siempre brilla el sol, como si Venecia sonriera eternamente a los visitantes de la ciudad.Las vedute fueron piezas muy cotizadas por los viajeros y amantes de las artes que realizaron el Grand Tour. Germen del turismo moderno, este largo viaje por Francia e Italia fue trayecto obligado en la formación de los aristócratas europeos del siglo XVIII, quienes encontraron en estas vistas el objeto ideal con que recordar su aventura de juventud.El turismo es hoy el motor económico de Venecia, actividad en la cual se ha especializado el sector servicios. Este modelo de desarrollo urbano ha producido a corto plazo efectos positivos sobre la economía local, pero, al mismo tiempo, el encarecimiento de la vivienda y la falta de trabajo han desplazado a sus habitantes hacia la periferia. Junto al cambio climático, que ha producido un aumento del nivel del mar Adriático provocando el fenómeno del acqua alta con mayor frecuencia, la mala gestión de un turismo masivo y descontrolado está afectando negativamente a la conservación del patrimonio cultural y amenaza la sostenibilidad de un sector clave para su economía. 
            ","sostenibilidad"
"3","Jacob Isaacksz. van Ruisdael y Colaboradores (?)","Paisaje de invierno","hacia 1670","
                La pintura holandesa del Siglo de Oro se caracterizó por una gran producción de obras destinadas a decorar los edificios civiles de una joven nación independizada del Imperio español así como los hogares de una próspera clase media que se había enriquecido gracias a la supremacía marítima y comercial de los Países Bajos en Europa. En este ámbito de gran actividad artística fue fundamental la especialización de los artistas. Entre otros temas, el paisaje se convirtió en Holanda en un género independiente en la pintura, siendo el invierno un asunto muy recurrente. Jacob van Ruisdael representó, con un claro sentido naturalista de lo cotidiano, toda la dureza de esta estación, en la que la vida se paraliza, adaptándose al ritmo de la naturaleza.En ese contexto, resultaba fundamental una fuente de energía. En nuestro cuadro conviven dos tipos de fuentes antagónicos que contribuyeron al desarrollo económico de los Países Bajos. En el recodo del canal congelado, se aprecian una serie de almacenes de turba, combustible que se transportaba en barcas. La turba es una tipo energía fósil cuya explotación fue muy intensiva en Holanda porque su producción y distribución tenían un bajo coste gracias a los extensos humedales del país y al desarrollo de una amplia red de canales que sirvieron para su transporte. Así pues se convirtió en un pilar económico del país, abasteciendo la alta demanda de energía de las crecientes ciudades, pero al mismo tiempo supuso una amenaza para la tierra y los terrenos agrícolas debido a las agresivas técnicas de explotación subterránea que requiere.Al fondo del cuadro puede apreciarse un molino, que movido por la fuerza del viento, produce un tipo de energía limpia e inagotable. Holanda desarrolló una fuerte ingeniería de molinos de usos muy diversos que hoy se integran en su paisaje industrial. Quizá los más destacados fueron los aserraderos para la construcción naval y los molinos hidráulicos, utilizados para drenar el agua de las zonas costeras situadas por debajo del nivel del mar, donde las inundaciones eran constantes. El escenario representado en nuestro cuadro puede ayudarnos a reflexionar sobre el tipo de economía que queremos adoptar para no agotar los recursos energéticos que nos ofrece el planeta. Actualmente, los seres humanos debemos plantearnos llevar a cabo una transición desde el uso de combustibles fósiles hacia las fuentes de energía renovables, limpias e inagotables que no producen gases de efecto invernadero ni emisiones contaminantes perjudiciales para el planeta y nuestra salud.
            ","sostenibilidad"
"4","John Frederick Kensett","El lago George","hacia 1860","
                Tras la guerra de independencia (1775-1783), los Estados Unidos comienzan a formarse como nación. En ese proceso de construcción identitaria jugará un papel fundamental la pintura. Especial relevancia tuvo el género del paisaje como configurador de una conciencia social a propósito de un territorio vasto y todavía, en buena parte, inexplorado.John Kensett perteneció a la segunda generación de pintores paisajistas de la Escuela del Río Hudson. La escuela estaba integrada por artistas norteamericanos que viajaron a Europa para asimilar la tradición pictórica del viejo continente y, a su regreso, desarrollar una pintura de «escenas auténticamente americanas». De vuelta a los Estados Unidos, Kensett va a ejecutar una pintura de sublime armonía entre el paisaje americano y sus habitantes, donde la naturaleza es un lugar confortable y apacible para el ser humano.Kensett había visitado el lago George, el más grande de la región de los Adirondacks, al nordeste de Nueva York, en 1830 y había tomado apuntes del estado salvaje de su cordillera y de la región. El artista seleccionaba cuidadosamente el lugar, la hora del día y las condiciones atmosféricas para retratar la escena aislada en el tiempo y en el espacio.Como un antiguo pintor flamenco, trabaja con minuciosidad los detalles y utiliza delicadas pinceladas, sutiles modulaciones en las tonalidades y una composición equilibrada para transmitir la quietud, el silencio y la serenidad del emplazamiento natural. El vuelo de los pájaros es símbolo de armonía; el horizonte continuo le confiere sensación de estabilidad al paisaje y evoca la inmensidad de la tierra norteamericana.Todo en la pintura luminista de Kensett nos traslada a un lugar incontaminado que no está libre de asociaciones históricas. El lago George había sido el emplazamiento de varias campañas militares durante las guerras con los indios y los franceses (1755-1763), así como de la Revolución americana (1775-1781), y James Fenimore Cooper lo convertiría en escenario de El último mohicano (1826). En la década de 1850 pasó a ser un paraje de interés turístico por efecto de la llegada del ferrocarril. Será gracias a los artistas paisajistas que presentaron el paisaje como valor colectivo de la nación (norte)americana que el gobierno tomó medidas de conservación de los parajes naturales. Pocos años después de la ejecución de esta pintura, los Estados Unidos declararon su primer parque nacional (Yellowstone, 1872), lo cual nos hace pensar en la relación estrecha entre dicha conciencia esté- tica y el espíritu conservacionista con respecto a unos ecosistemas cuya riqueza es única e irrepetible.
            ","sostenibilidad"
"5","Caspar David Friedrich","Mañana de Pascua","hacia 1828 - 1835","
                Frente a una relación de dominio y explotación sobre el medio natural, el romanticismo alemán mostró una actitud contemplativa del ser humano hacia la naturaleza. El paisaje se convirtió en el género romántico por excelencia. Encarnó todas las novedades estéticas y fue la forma de expresión plástica idónea para plasmar los sentimientos individuales del artista. Para ello, el pintor entra en contacto con la naturaleza y abandona el estudio para salir a tomar apuntes del natural. Supera así la concepción en exceso idealizada de la naturaleza y conecta espiritual y anímicamente con el paisaje.Para Caspar David Friedrich el arte cumplía una función mediadora entre una naturaleza sobrecogedora y un ser humano que se siente al mismo tiempo superado y atraído por ella. Friedrich salía a la naturaleza y la observaba; sus pinturas demuestran el interés del pintor por lo local, pues son la síntesis de los paisajes alemanes que él visitaba. Aunque descriptivos, los paisajes de Friedrich intentaban ir más allá de los datos topográficos del paisaje. En esta Mañana de Pascua todo adquiere una profunda interpretación espiritual: grupos de tres mujeres caminan pausadamente hacia un cementerio, que se intuye por los hitos de un camino infinito, en una mañana de Pascua en la que la naturaleza celebra su despertar, tal y como indican los brotes verdes de las ramas de los árboles. Además, junto al sol (símbolo del renacer, de la vuelta a la vida) que guía a las mujeres, los brotes verdes simbolizan en este cuadro el resurgir de una nación, la alemana, liberada de la ocupación francesa que tanto había afectado emocionalmente al pintor. Friedrich consigue infundir al paisaje un contenido simbólico con el que conecta con el/la espectador/a. Los personajes de espaldas, característicos de sus pinturas, le sirven como elemento de implicación y median entre el paisaje y los espectadores, pues se sitúan ante la vista como si fuese una ventana hacia el mundo, del mismo modo que nosotros nos situamos ante el cuadro.
            ","sostenibilidad"
"6","Vincent van Gogh","Los descargadores en Arlés","1888","
                Vincent van Gogh llega a Arlés en febrero de 1888. El pintor holandés plasma en sus cuadros el fuerte impacto que le produce la luz del Mediodía francés, región del sur de Francia situada a orillas del Ródano. Y lo hace en un estilo cada vez más sintético, con una pincelada más enérgica y utilizando la intensidad de los colores puros, que van a caracterizar a partir de ahora su pintura. En esta pieza, Van Gogh capta las vibraciones de la luz del atardecer sobre el río y el esfuerzo de los descargadores de carbón en primer plano. Sigue entonces interesándose por el mundo de las clases trabajadoras.La ciudad de Arlés está muy vinculada al aprovechamiento del agua del Ródano. La riqueza y prestigio de esta localidad corresponden con los periodos de intensa explotación del río. El Ródano es la única vía fluvial que conecta el Mediterráneo con el norte de Europa, siendo desde la Antigüedad el principal eje de circulación de personas, culturas y mercancías, así como un elemento estructurante de los territorios por los que fluye. Antes de que se desarrollaran las carreteras y ferrocarriles servía como ruta interior para conectar las ciudades de Arlés (que fue villa imperial), Aviñón (sede papal en la Edad Media), Valence, Vienne y Lyon con los puertos del mediterráneo francés. A principios del siglo xix, con la revolución industrial, el Ródano se convirtió en la arteria que une las localidades industriales situadas en sus orillas. Arlés recupera entonces su función como punto de encuentro entre la navegación fluvial y la marítima. Sin embargo, la creación de la línea de ferrocarril de Aviñón-Marsella acaba abruptamente con el auge económico de este puerto de río. Cuando Van Gogh pintó Los descargadores el puerto de Arlés era ya solo el punto de llegada y de partida del servicio de distribución del carbón.En la actualidad, las ciudades crecidas a orillas del Ródano siguen basando gran parte de su actividad económica en la fuerza de las aguas del río. El Ródano es hoy una importante fuente de energía renovable gracias a las presas que se construyeron en su rivera y que producen el 20% de la energía hidroeléctrica de Francia. La gestión actual del río trata de conciliar el desarrollo de la sociedad y la integridad física y ecológica del agua.
            ","sostenibilidad"
"7","André Derain","El puente de Waterloo","1906","
                El desarrollo industrial y la consiguiente transformación de las ciudades van a producir en los artistas modernos el mismo grado de rechazo que de fascinación. Londres será uno de los modelos más seductores, apreciado por artistas como William Turner. Tras el éxito artístico y comercial de la serie que Claude Monet le había dedicado años antes, el marchante de arte Ambroise Vollard encargará a André Derain un conjunto de vistas de la ciudad más de moda. Londres, capital del pujante Imperio británico, capitaneaba desde 1800 el rumbo del desarrollo industrial y económico de Europa. Era la ciudad más grande del mundo y continuó creciendo durante todo el siglo XIX. La prosperidad econó- mica tuvo un considerable impacto en el espacio urbano. Surgieron nuevas áreas industriales y a su paisaje arquitectónico se fueron añadiendo nuevas edificaciones fabriles. Sin embargo, junto al refinamiento de las instituciones gubernamentales y la mejora de la vida de las clases medias aparecieron los problemas de hacinamiento de las clases trabajadoras. El clima húmedo, el humo de las fábricas y el hollín del carbón, así como las aguas residuales que se volcaban directamente al río Támesis provocaron la peste de 1858. Se planificará entonces un nuevo sistema de alcantarillado y tratamiento de las aguas que todavía hoy es una referencia en materia de infraestructura urbanística.Una obra modélica fue la reforma del Victoria Embankment en la década de 1860, por la que se convirtió en una especie de avenida para facilitar el flujo del tránsito en esta orilla del Támesis. Desde allí se situó André Derain para pintar la vista de este cuadro. El pintor fauvista (fauve significa fiera en francés) sigue el recorrido topográfico de Claude Monet. Sin embargo, a diferencia de este, que recoge la bruma y la niebla de la capital inglesa, Derain nos presenta, con pincelada divisionista y colores nítidos y puros, un desconocido brillo de Londres.En Derain, los signos de la industrialización y lo gubernamental o histórico tienen la misma relevancia como elementos del paisaje urbano. En esta vista amplia desde el Victoria Embankment Derain recorre los edificios industriales del Baltic Wharf incluyendo la Shot Tower y algunas chimeneas fabriles; más atrás, se reconoce también la Victoria Tower del edificio del Parlamento y, justo en el centro, sobre el puente, vemos el Cleopatra’s Needel, obelisco traído desde Egipto; un poco más a la derecha, como el perfil de unas montañas, aparece el Whitehall Court.El pintor francés sitúa visualmente al mismo nivel lo noble y lo industrial de la capital inglesa formando una sola silueta que separa los elementos naturales del paisaje: el cielo y el agua. No obstante, el sol enérgico de esta vista del puente de Waterloo proyecta sus potentes rayos sobre la ciudad, la deslumbra. Parece como si Derain hubiera querido pintar a la vez una visión esperanzadora y apocalíptica de Londres, de la ciudad moderna. 
            ","sostenibilidad"
"8","Sonia Delaunay","Contrastes simultáneos","1913","
                Sonia Delaunay fue una artista judía expatriada que llegó a París en 1905 tras recibir una esmerada educación cosmopolita en Rusia y Alemania. Pronto entró en contacto con los círculos artísticos más modernos de la capital francesa. En 1908 conoció a Robert Delaunay, con quien contraería matrimonio y con el que mantuvo un intercambio artístico muy productivo que desembocará en el denominado orfismo. Juntos buscaron reproducir el ritmo de la vida moderna y, bajo las mismas teorías acerca de la luz y el color que se denominó simultaneismo, llegaron a la abstracción por caminos distintos. Sonia enseguida reconoció las limitaciones de la pintura para conseguir el movimiento y la interacción dinámica de formas y colores y decidió experimentar con los tejidos; su primera obra puramente abstracta fue una colcha de cuna hecha de retales de tela de colores que hizo para el hijo de la pareja, Charles, nacido en 1911, que recordaba a las tradicionales colchas rusas.Contrastes simultáneos del Museo Thyssen-Bornemisza sigue la lógica orfista de sus primeras obras, como la mencionada colcha: como si se tratase de retazos, la artista «confecciona» los diferentes planos de este cuadro abstracto y los distingue mediante el contraste entre los colores complementarios y disonantes, como el azul y el rojo, que vibran uno al lado del otro.De este modo, experimentando con el diseño textil y trasladando sus resultados a la pintura, Sonia no solo encontró la forma de reflejar el dinamismo de la vida moderna, sino que también logró romper con la tradicional separación entre las bellas artes y las artes aplicadas, fractura que trataron de superar también movimientos de vanguardia más radicales como el dadaísmo y el futurismo. Sus modelos tuvieron un gran éxito comercial y durante un corto periodo de tiempo abandonó la pintura para dedicarse de lleno al diseño y las artes aplicadas, pues este trabajo reportó a la pareja el bienestar económico que necesitaba la familia.Sin embargo, la crítica de su tiempo nunca consideró a Sonia una artista completa, en oposición al notable reconocimiento artístico que obtuvo Robert, pues se juzgó que él hacía «arte» y ella, «artesanía»; supuestamente, él se dedicó a formular las teorías estéticas y ella a aplicarlas a las artes decorativas. No sería hasta 1987 cuando las producciones de ambos se asociaran en una importante exposición en el Musée d’Art Moderne de la Ville de Paris. La figura de Sonia Delaunay encarna las dificultades que todavía hoy deben atravesar las mujeres para ser reconocidas como agentes clave en el desarrollo de nuestras sociedades. Para alcanzar el desarrollo sostenible, es fundamental y necesario que reconozcamos social, política y económicamente la labor oculta de las mujeres a lo largo de la historia.
            ","sostenibilidad"
"9","Natalia  Goncharova","El bosque","1913","
                Natalia Goncharova formó parte del grupo de artistas rusos que recuperaron el arte popular local para integrarlo a las experiencias vanguardistas de la abstracción rayonista (rayo de luz). Asimismo, fue una de las «amazonas rusas», nombre bajo el cual el poeta B. Livshits reunió a seis mujeres artistas (Natalia Goncharova, Liubov Popova, Alexandra Exter, Varvara F. Stepanova, Olga Rózanova y Nadeshda Udaltsova), de fuerte personalidad y creaciones heterogéneas, que abogaron por la igualdad en el campo de la creación plástica junto a sus compañeros varones y obtuvieron el reconocimiento de su papel primordial dentro de la cultura rusa. Goncharova, junto a Mijaíl Lariónov, vivirá una vida como expatriada en París desde 1919 y no participará en la Revolución rusa, como sí hicieron algunas de las artistas del colectivo «amazonas rusas».Con Lariónov, desarrolló el rayonismo, estilo pictórico basado en el estudio de la expansión de la luz que emana de diferentes focos. Tal y como podemos apreciar en este cuadro, se representa toda una batería de rayos en todas las direcciones que hacen posible que el objeto y la escena puedan ser vistos, que nos permiten adentrarnos en este caso en la espesura de este paraje de aspecto abstracto. Aunque el rayonismo tiene un trasfondo temático y no abandona del todo al figuración, abrió la puerta de la abstracción al arte ruso. La equiparación del arte y la artesanía fue un factor importante en el desarrollo de las vanguardias rusas y fue también determinante para alcanzar la consideración igualitaria de la producción masculina y femenina. Gran parte de la obra de Goncharova está dedicada al medio rural de donde era originaria su acomodada familia. La estética de El bosque se aproxima a los lubki rusos, cuentos populares tallados en madera que decoraban las casas de las familias campesinas rusas. De este modo, el trabajo técnico del cuadro y la evocación al bosque nos sitúan dentro de ese ecosistema, pulmón de la Tierra hoy amenazado por la deforestación.
            ","sostenibilidad"
"10","Kurt Schwitters","Merzbild Kijkduin","1923","
                Kurt Schwitters fue uno de los artistas más radicales del dadaísmo alemán. Con vehemencia, afirmaba: «Soy artista y pongo clavos en mis cuadros», una contestación total a los valores del arte y de la pintura tradicional. Rompiendo con todas las convenciones plásticas creó sus indisciplinados Merz, ensamblajes realizados con diferentes medios técnicos, utilizando los materiales más disparatados encontrados en cualquier parte. El término Merz fue extraído por casualidad de un recibo bancario de la palabra Kommerzbank (conocida entidad financiera alemana) y culminó en su obra magna Merzbau (1923-1932), una especie de columna, destruida por una bomba durante la Segunda Guerra Mundial, a la que Schwitters iba añadiendo día a día, a modo de diario, cosas encontradas por casualidad y que habían llamado su atención.Merzbild Kijkduin es un ensamblaje realizado en Holanda durante el «tour dadá» que hizo Schwitters junto a otros artistas en 1923. La palabra Kijkduin es el nombre de una pequeña población costera situada junto a La Haya. De las orillas del mar Schwitters recoge la madera y los residuos arrastrados por las mareas. El caos del azar dadá dialoga en esta obra con el orden constructivista, distribuido en dos partes rítmicas que dividen esta especie de naturaleza muerta. Schwitters rescata casualmente y combina ordenadamente en sus piezas aquellos objetos que la sociedad (de consumo) ha desechado porque ya no sirven o porque ya han cumplido su función, reutilizándolas y dándoles una nueva existencia en la obra de arte. Este acto de rebeldía contra el modo tradicional de creación artística podría ser hoy interpretado como una forma de reciclaje.En lugar de crear de la nada, el artista dadaísta reutiliza y recicla materiales de deshecho y los convierte en arte. Desde una perspectiva actual, la obra de Schwitters invita a reflexionar sobre la reducción del consumo y los ciclos de utilidad de los bienes materiales. Contra la filosofía del consumo lineal de usar y tirar, el artista recoge los residuos que han dejado de tener vida útil y los transforma en recursos, es decir, los productos son llevados de la cuna a la cuna como principio de la economía circular.
            ","sostenibilidad"
