"","Artista","Obra","Fecha","Texto","Tema"
"1","Jacques Daret","La Adoración del Niño","c. 1434-35","
                Esta obra de Jacques Daret, pintor coetáneo de Roger van der Weyden, se realiza durante el auge del ducado de Borgoña, donde el artista participó en diseños de decorados para la corte. El cuadro refleja el episodio en el que José fue a buscar a dos comadronas para que asistieran a la Virgen en el parto, pero cuando llegaron, María ya había dado a luz. Al entrar en la cueva, la primera reconoció la virginidad de María, pero la segunda, desconfiada, intentó comprobar el milagro y fue castigada con la parálisis de sus manos. La obra representa el momento en que ésta se dispone a tocar al Niño para que la sane.
En el siglo XV se inicia un periodo de esplendor que se concretará en la fundación de las primeras naciones modernas. La revolución agrícola va a permitir la generación de grandes excedentes y el surgimiento de los gremios. El comercio se agiliza, y con él también crece el intercambio de tejidos y adornos, excitando la imaginación de los sastres.
La moda será sofisticada y exagerada, de acuerdo con las formas puntiagudas y con el aire recargado del gótico florido. El espesor del paño de Flandes da a la ropa un aspecto pesado y extravagante. El traje se vuelve anatómico, se ciñe al talle dibujando levemente el cuerpo. La cintura se marca debajo del busto con un cinto ancho generando frunces verticales en la falda. Ésta cubre las piernas por completo y generalmente tiene cola de largos variables (a mayor largo, mayor rango social).
En épocas anteriores, se consideraba inmoral llevar el cabello descubierto, pero en esta época se popularizan los tocados complicados y fantásticos según avanza el siglo. Existían diferentes tipos: el tocado cojín, que era un rodete almohadillado sobre una redecilla, gracias al cual el cabello se enrollaba en espiral alrededor de ambas orejas; el tocado de cuernos, de salchicha, turbante y tubo de chimenea, que llevaba un velo cosido en la parte alta; el tocado aguja, muy habitual en Francia; el de cono truncado, en Inglaterra; o el más espectacular, el de mariposa, una estructura de alambre unida a un pequeño gorro donde se recogía el pelo, y se elevaba por encima de la cabeza sujetando un velo trasparente con forma de alas de mariposa.
En la misma sala, se encuentra el Tríptico de la Piedad del Maestro de la Leyenda de Santa Lucía. La figura de la izquierda viste la cotardía, traje con escote en forma de V ribeteado en piel, con mangas muy estrechas y ajustadas, muy en boga en ese momento.
En Vestir al desnudo del Maestro de la Vista de Santa Gúdula queda reflejada la variedad de tocados masculinos; el más habitual era el turbante, que en un principio fue un capuchón provisto de un cornete largo; se podía drapear de mil maneras diferentes, y su uso se extendió a todas las clases sociales durante más de un siglo. Más tarde apareció el chaperón, listo para ser llevado sin necesidad de ser montado y que iría reduciéndose de tamaño con el paso del tiempo hasta llegar a prenderse en el hombro, convirtiéndose así en símbolo de gremios. En el siglo XIX se transforma en la escarapela del sombrero que llevarán los cocheros.
Los zapatos de los hombres tenían por entonces la punta alargada, a veces de forma exagerada, hasta que esta costumbre fue contemplada con desagrado por las autoridades civiles y eclesiásticas; Eduardo III de Inglaterra llegó incluso a decretar una ley suntuaria por la cual establecía que « ningún caballero llevará zapatos con puntas cuya longitud exceda las dos pulgadas bajo multa ». Sin embargo el mandato fue ineficaz, ya que en el siguiente reinado las puntas alcanzaron las dieciocho pulgadas o más. Se llamaban zapatos a la cracoviana o a la polonesa. Según parece, la denominación procede de la época en que Ana de Bohemia se casó con Ricardo II (1382), cuando los caballeros del séquito acuden a la corte de Inglaterra con zapatos de puntas exageradamente largas. Esta práctica estuvo bastante tiempo de moda, y para contrarrestar la inestabilidad que producía tal calzado se fabricaba con suelas de madera.
            ","moda"
"2","Domenico Ghirlandaio (Domenico Bigordi)","Retrato de Giovanna degli Albizzi Tornabuoni","1489 - 1490","
                De la mano de la prosperidad mercantil en Italia se difunde un nuevo estilo artístico: el Renacimiento. La línea dominante pasa a ser la horizontal; los zapatos, los escotes y las formas en general se achatan, como un eco de la nueva arquitectura, y la moda italiana se impone en el resto de Europa.
Los pintores renacentistas, siguiendo los modelos de la Antigüedad clásica, diseñan cuerpos de proporciones idealizadas, como el de esta excepcional imagen, espléndido ejemplo de retrato del siglo XV. La mujer representada en esta pintura, Giovanna degli Albizzi, contrajo matrimonio con Lorenzo Tornabuoni y murió dos años después durante el embarazo de su segundo hijo.
El vestido muestra su elevado rango social y el gusto imperante por los tejidos de calidad, en este caso una magnífica muestra de trabajo en seda con dibujos bordados en relieve. Este tipo de tela se llama brocado, y se elaboraba entretejiendo los motivos con hilos de oro o plata.
La manga de seda es acuchillada, según la moda italiana del siglo XV, con varias aberturas por donde asoman los pliegues de la camisa blanca que Giovanna llevaba bajo el vestido, primorosamente atada con cordones. El escote es cuadrado y el busto está encorsetado. En esta época comienza a usarse el cuerpo emballenado, que va a modificar el ideal estético durante cuatro siglos. El corsé era una armadura compuesta de ballenas que estiraba el talle de la mujer a modo de embudo para realzar el pecho. A partir de entonces se pone de moda un tipo de traje constrictivo, que obliga a la mujer a mantenerse muy recta, con los hombros proyectados hacia atrás. Los tocados desaparecen, el peinado es más natural y disminuye el volumen, con bucles enmarcando el rostro.
Otras pinturas en la misma sala nos permiten valorar las diferencias dentro de la moda europea. La figura de Retrato de una infanta, de Juan de Flandes, viste el típico traje femenino castellano de la época, cuya estética era independiente de las corrientes extranjeras. Las aportaciones españolas más importantes a la moda fueron la utilización de camisas de lino, el verdugado —falda armada con aros de forma acampanada— y los chapines —calzado sin suela de herencia musulmana. También eran originales los trenzados —recogidos donde el cabello se peinaba con cintas entrecruzadas y formaba una sola trenza.
La austeridad de la corte española quedó patente en las leyes suntuarias dictadas por los Reyes Católicos para frenar el gasto en lujos y mantener el orden social establecido: «quienes no fuesen nobles no podrían vestir sedas, pieles o vestidos reservados a la élite».
Destaca el predominio del negro asociado a la dignidad, sobriedad y autoridad del personaje representado, como vemos en las obras de Antonello de Messina, Andrea Solario y Joos van Cleve. El tinte negro se elaboraba mezclando agalla y vitriolo verde, y como resultado se obtenía una tonalidad negra intensa, sin embargo con el tiempo se deterioraba y dañaba las fibras. A partir de la llegada de pigmentos americanos se consiguieron tintes perfectos que se distribuían al resto de Europa, como fueron «el palo de Campeche», adoptado por los Austrias como color de su «traje a la española», o la cochinilla, con la que se conseguía el rojo que elegiría la Iglesia para vestir a sus cardenales.
La gran variedad de retratos masculinos que contemplamos también muestra la evolución del peinado. A principios del siglo XV, el pelo se llevaba suelto, largo y con flequillo, pero a medida que avanza el siglo, se usan cada vez más los sombreros, que adoptarían distintas formas: birretes con joyas y plumas, bonetes, chapeles y cramañolas.
            ","moda"
"3","Hans Holbein el Joven","Retrato de Enrique VIII de Inglaterra","hacia 1537","
                Este retrato del célebre monarca inglés es una magnífica muestra del estilo de Holbein, que se caracteriza por la monumentalidad y la profundidad psicológica de sus modelos. El pintor consigue retratar la regia personalidad de Enrique VIII gracias a la pose de la figura y las manos, representadas frontalmente.
En el retrato destaca el jubón, la prenda estrella del traje para los varones. Paradigma de la masculinidad, llevaba hombreras para hacer que el tórax pareciera más voluminoso. Las mangas se hacen cada vez más anchas, a veces son desmontables y a menudo están acuchilladas; existían también mangas dobles bicolores. Las cuchilladas, es decir, las rasgaduras en la tela de las prendas a través de las cuales se sacaba el forro, se convierten en una práctica habitual a principios del XVI. Gracias al «Inventario de Guardarropa» de Enrique VIII sabemos que este monarca poseía muchos tipos de jubones de diferentes tejidos, en su mayoría de terciopelos forrados con oro, pero el más apreciado era de raso púrpura, bordado con hilos de oro y plata y adornado con perlas cosidas. En algunos casos, las incrustaciones de diamantes, rubíes y perlas cubrían por completo el tejido que servía de soporte.
Sobre el jubón llevaba una jacket o jerkin (sayo del siglo XVI en España). Esta prenda podía estar compuesta por una doble tela y a veces iba cerrada por delante con cintas o botones. Encima, se ponía la túnica sujeta sobre los hombros y ribeteada con piel.
Las pieles eran de uso corriente en la indumentaria masculina y femenina; las favoritas eran de lince, lobo y marta cibelina, antaño patrimonio exclusivo de la nobleza europea.
Las calzas y las medias, que iban cosidas juntas, cubrían las piernas. Las calzas se sujetaban al jubón por medio de puntos o agujetas, es decir, unos cordones o cintas que se pasaban por unos ojetes y se ataban.
            ","moda"
"4","Hans Baldung Grien","Retrato de una dama","1530 (?)","
                En el siglo XVI, la reforma impuso en Europa y, notablemente, en la cultura germana la sobriedad en el vestir. Hans Baldung Grien fue el discípulo más aventajado de Durero. Esta obra es el único retrato femenino de su mano que ha llegado hasta nuestros días. La identidad de la retratada resulta absolutamente enigmática. Probablemente se trate de una representación abstracta, de una imagen ideal, más que del retrato de un personaje concreto.
La dama viste un traje de terciopelo verde oscuro, ceñido en el talle, con mangas muy anchas y pliegues hasta el suelo (hopalanda). Terciopelo, sedas y brocados engalanan a la dama. Una cadena de oro y una gargantilla de perlas penden sobre el escote cuadrado. Lleva sombrero con plumas y un tocado de hilos de perlas que recoge el cabello con una redecilla.
En el Retrato de Ana de Hungría y Bohemia de Hans Maler se aprecia una indumentaria similar: acuchillados y redecilla bajo el sombrero adornado con perlas. En obras como El bufón llamado «el caballero Cristóbal»  de Hans Wertinger, los retratos de Ruprecht Stüpf y Úrsula Rudolph de Barthel Beham y el Retrato de un hombre barbado de Lucas Cranach se puede observar cómo los hombres empezaron a vestir una mayor variedad de prendas. El jubón seguía siendo la más importante del guardarropa masculino, pero encima se podía llevar un sobretodo, denominado schaube, que por lo general no tenía mangas y estaba forrado de piel. El schaube se convirtió en la prenda típica de los humanistas. Lutero la utilizaba, definiendo así lo que será el traje de los clérigos luteranos hasta nuestros días. Con una cadena dorada alrededor del cuello daría lugar al traje de los alcaldes, una variante del cual es la indumentaria de los académicos. La capa empezaba entonces a ser prenda indispensable. Aunque anteriormente su uso estaba limitado a la actividad de montar a caballo, durante la segunda mitad del XVI se utilizó tanto dentro como fuera de las casas.
En Alemania se empleaba con frecuencia el color rojo. En casi todos los retratos que Cranach realiza para los príncipes germanos, las figuras portan alguna prenda de ese color. Durante este periodo se prohibía a las clases populares vestir de rojo, por eso aparecen emulando a la nobleza en obras como Retrato de mujer de veintiséis años, de autor anónimo perteneciente a la escuela de Lucas Cranach. En la revuelta campesina de 1524 en Alemania, una de las peticiones de los insurrectos era que se les permitiese llevar ropas rojas como las de los nobles.
El panorama de la moda cambia a mediados de siglo XVI debido al gusto personal de Carlos V, conocido por la sobriedad reflejada en el Retrato del emperador Carlos V de Lucas Cranach, expuesto en esta sala. El creciente poder de la Monarquía española desplaza los gustos imperantes en otras cortes. Con Felipe II, la corte española se convertiría en el modelo admirado por toda Europa.
            ","moda"
"5","Zurbarán","Santa Casilda","hacia 1630 - 1635","
                La dedicación al comercio textil de su padre, los cambios producidos en la indumentaria durante el siglo XVII, las representaciones teatrales y la enorme creatividad de Francisco de Zurbarán hicieron de su serie de santas mártires un éxito artístico y comercial de alcance internacional. Prueba de ello es la exportación de este tipo de obras al Nuevo Mundo.
La mirada del artista a Santa Casilda es moderna, aunque la protagonista es hija de un rey árabe, convertida al cristianismo y martirizada por su fe en el siglo XI. Zurbarán no quiere reflejar el dolor de su martirio; al contrario, puso el acento en la feminidad de la mujer del siglo XVII y la retrató en la plenitud de su lozanía virginal, con majestuosos ropajes de paños ricos y coloristas, tocada con delicadas joyas y como santa portadora del atributo de su martirio.
Zurbarán asistía habitualmente a los autos sacramentales que se representaban en Sevilla buscando inspiración para las vestimentas de las santas. A partir de ahí, el artista desarrolló un estereotipo de imagen femenina que formó parte del ideal barroco cuyo fin era el goce estético de la imagen sagrada por el comitente.
«No, no es una moda caprichosa. Cuando pinto estas santas mujeres con estos vestidos, es precisamente para dar mayor realismo a la imagen. Mi misión es sólo una: mover hacia Dios. No, no es un capricho mío, ni de mis clientes, es auténtica pintura religiosa que persuade a todo el que la ve » (Francisco de Zurbarán).
Los diseños de los trajes fueron realizados por el artista inspirándose en telas que hizo traer de Venecia, pues en la España del siglo XVII no se producían tan magníficas sedas. Él mismo elegía los colores, combinaba los estampados y trataba los tejidos.
La santa viste un guardapiés anaranjado sobre el cual cae el vestido de terciopelo brocado. La cenefa del bajo está bordada con oro, perlas, esmeraldas y rubíes o granates; la manga del vestido está acabada con aldetas, un elemento decorativo muy teatral y de gran éxito entre los pintores. Desde la espalda cae hasta el suelo una capa de tafetán de seda abullonada, plateada y rematada con puntilla de encaje de bolillos con hilo de oro.
Sus vestimentas han sido un poderoso referente para los diseñadores. En 1961 Balenciaga diseñó un vestido de noche inspirándose en Santa Casilda, y la propia Coco Chanel reconoció a Zurbarán como uno de los primeros diseñadores de moda.
            ","moda"
"6","Peter Paul Rubens","Retrato de una joven dama con rosario","hacia 1609 - 1610","
                Rubens pintó este retrato de una dama sin identificar a su vuelta de Italia, tras su matrimonio con una mujer burguesa y ser nombrado pintor oficial de los archiduques. Compaginó sus compromisos políticos en los Países Bajos con la realización de encargos muy diversos. Al extenderse su fama, organizó un amplio y eficaz taller para responder a la creciente demanda. Este lienzo le sirvió para abrirse a un mercado más amplio en el que los retratos ocuparon un lugar destacado.
En este retrato destaca el virtuosismo del encaje en la gorguera, los puños y el tocado. Parece que fue en Italia donde surgió la idea de tirar de los hilos de los extremos de la tela blanca de los pañuelos o camisolas íntimas, tejiéndolos con agujas para crear motivos trasparentes y de formas geométricas. Esta técnica se denominó encaje, porque los diseños se adaptaban a una franja entre dos líneas paralelas, como si fuera una labor encajada entre ellas. Los tejidos preferidos para elaborar encaje son los de hilos de seda y lino por su finura y resistencia. Realizado con agujas en Italia y con husos en Flandes, el encaje de buena calidad será siempre un producto caro, ya que estaba hecho a mano por especialistas y el tiempo de elaboración era largo.
Otras pinturas de la sala en las que se representan encajes son el Retrato de Jacques Le Roy de Van Dyck y el Retrato de Antonia Canis de Cornelis de Vos. La gorguera de encaje, que había aparecido en 1570, alcanza un gran desarrollo, especialmente en los Países Bajos y servía para mantener la cabeza erguida. Fue un signo de privilegio aristocrático. A medida que el siglo avanzaba, se ha- cían cada vez más grandes, hasta el punto de que resulta difícil imaginar cómo sus usuarios lograban llevarse alimentos a la boca.
Más tarde, esta prenda evoluciona y se introducen nuevos modelos, como la gorguera rueda de carro, con varias capas de pliegues tubulares almidonados. Esta forma se conseguía utilizando palos como armazón mientras la tela almidonada se secaba y adquiría consistencia; una vez seca, se quitaban los palos. El invento del almidonado, denunciado por los moralistas puritanos como signo de vanidad, permitió prescindir del armazón de alambre o «apuntalador» que las gorgueras habían necesitado hasta entonces.
Lo más característico en la indumentaria femenina en este momento es la pieza del estómago, de color plata y ribeteada con hilo de oro en el retrato de Rubens. Esta pieza constituía la parte delantera del vestido, iba endurecida con cartón y se mantenía en su sitio con armazones rígidos, con frecuencia de madera. La falda se abultaba mediante el verdugado, en unas enaguas armadas con aros de alambre, madera o ballenas, que se acampanaban hacia el borde inferior de la falda.
España marcaría la pauta dominante en la moda también durante el siglo XVII.
            ","moda"
"7","Thomas Lawrence","Retrato de David Lyon","hacia 1825","
                Thomas Lawrence fue el gran retratista de la escuela inglesa del siglo XIX. Con veintiún años era ya protegido por monarcas y fue elegido miembro de la Royal Academy en 1794.
El Retrato de David Lyon es una obra de gran calidad, ejecutada en la última etapa del pintor. El artista ha ubicado a su cliente en un amplio y tranquilo entorno natural para infundir a la imagen un aire de distinción y elegancia alcanzado a través de la pose y la indumentaria.
De la mano del retratado nos adentramos en la esencia del Dandismo. Gracias a la habilidad desarrollada por los sastres ingleses en el trabajo de la lana, la ropa comienza a ceñirse al cuerpo gracias al modelado de la materia prima. Los modistos se enorgullecían de que la ropa no mostrase ni una sola arruga. El retratado viste pantalón «Brummel», frac y redingote o levita rematada en piel, que va ceñida a la cintura, enmarca la figura y se convierte así en la prenda de moda. Los zapatos relucientes son de punta estrecha, sin embargo, a medida que trascurra el siglo irán ensanchándose.
La extravagancia y el color en la ropa masculina desaparecen. A un dandi se le reconocía por el corte de su ropa y el arreglo de su corbata —el cuello de la camisa almidonado y con las puntas hacia las mejillas se mantenía en su sitio por medio de un pañuelo de muselina atado con un nudo o lazo delantero—. Se dice que algunos dandis podían pasarse la mañana entretenidos sólo en el arreglo de su corbata. Llevaban el pelo corto y despeinado, rostro afeitado y, en ocasiones, lucían patillas y bigote.
El modelo de caballero no sufrirá modificaciones relevantes hasta el siglo XX. El traje masculino se vuelve tan aburrido que hacia 1850 ha desaparecido de las revistas de moda y sólo puede rastrearse gracias a los tratados de sastrería y los retratos en pintura.
            ","moda"
"8","William Merritt Chase","Joven con vestido japonés. El quimono","hacia 1887","
                Merritt Chase, pionero del impresionismo norteamericano, refleja en su pintura la transcendencia que tuvo la apertura del puerto de Japón en el periodo Meiji en 1868. Oriente se convirtió en una gran fuente de inspiración. A partir de este momento el arte y la cultura se dejan inundar por el exotismo japonés.
En el vestir el quimono es la prenda más apreciada. Significa «cosa para usar», y pertenece tanto al ámbito masculino como al femenino. Se compone de una túnica estrecha y abierta por delante y una faja de tela ancha denominada obi, que se ata con un nudo diferente según la etiqueta en cada caso. La túnica está realizada con una sola pieza de seda o algodón que se ajusta al cuerpo y el lado izquierdo de la misma se envuelve sobre el derecho.
Los objetos y complementos orientales inundaban las casas decimonónicas. Los artículos eran utilizados por las damas europeas de la época con la naturalidad que se refleja en la obra. Estos elementos, difundidos por las revistas de moda, renovaban la tradición y aportaban modernidad: biombos, mobiliario de bambú, tejidos, adornos y otros artículos como abanicos, sombrillas y porcelanas eran codiciados por la élite social e intelectual.
En Joven con vestido japonés la esposa de Merrit Chase examina láminas japonesas. Los artistas nipones que expusieron en París sedujeron a pintores como Manet, Renoir, Degas o Gauguin, como podemos ver en el retrato que Monet hizo a su esposa en 1875, ataviada con un quimono, o el cartel de estética japonesa que Toulouse-Lautrec elaboró para el Moulin Rouge.
En la misma sala podemos contemplar el Retrato de Millicent, duquesa de Sutherland de John Sargent. El artista inmortalizó innumerables modelos de la alta burguesía en París y Londres. La protagonista del cuadro es una de las mujeres más brillantes de La Belle Époque londinense. Moderna y segura de sí misma, elimina de su vestido la presión del abdomen, abandona el polisón y surge así una forma curva novedosa que empuja el busto hacia delante. La falda en forma de campana cae en cascada y en los diseños de la época predominan los estampados de vivos colores.
            ","moda"
"9","Édouard Manet","Amazona de frente","hacia 1882","
                Esta obra pertenece a una serie inacabada sobre las cuatro estaciones que Édouard Manet realizó en los dos últimos años de su vida, por encargo del entonces ministro de Bellas Artes. El artista emprendió este ciclo cuando estaba ya muy enfermo y sólo consiguió terminar totalmente la primera de las obras, La Primavera. Amazona de frente probablemente estaba pensada para representar el verano. Manet prestó gran atención al vestuario de las retratadas, pues en ese momento la moda era clave para ser moderno, según el credo de Baudelaire. La joven Henriette Chabot, hija de un amigo librero, viste un elegantísimo traje de montar oscuro. El artista muestra un alarde técnico en el dominio de los negros.
En este periodo el vestuario deportivo hace su aparición. Se diseña el traje para jugar al tenis, montar en bicicleta o a caballo. A finales de la década de 1890 llegaría el escándalo de la mano de la falda pantalón, es decir, pantalones holgados, más cortos, conocidos como bloomers. La pasión de montar a caballo para algunas mujeres se refleja en las revistas de moda. En ellas se ve cómo la masculinización llegó sólo hasta la cintura. El traje consistía en sombrero de copa con un velo atado, una chaqueta y chaleco de hombre y una falda enormemente voluminosa, que casi tocaba el suelo, imposibilitando bajarse sin ayuda de un mozo de cuadra.
La indumentaria deportiva femenina era pesada y de colores oscuros. Los sastres confeccionaban trajes inspirándose en las levitas y chaquetas masculinas. La mujer representada en el cuadro viste una chaqueta ceñida y entallada, el cuello blanco y almidonado de la camisa se cierra con broche dorado como contrapunto a la apariencia masculina. Ataviada con sombrero de copa, bajo el cual el cabello se recoge en un moño, porta una fusta en la mano protegida con un guante largo de piel que en algunas ocasiones se remataban con veinte botones.
En la misma sala encontramos El espejo psiqué de Berthe Morisot, pintora fundadora del Impresionismo francés, cuñada de Manet y participante activa de las exposiciones del grupo. Esta obra, presentada en 1877 en el Salón, es la representación del mundo de los sentimientos femeninos, un asunto permanente en su obra. Una mujer coqueta se prepara para salir y se mira al espejo entallándose el corsé. Elemento asociado a la belleza femenina, aliado de la coquetería y encargado de mantener la delgadez impuesta por la moda, esta prenda tendrá adeptos y detractores. Los estudios de la época llegan a asociar el uso del corsé a la aparición de alteraciones físicas como el desplazamiento de la matriz. Pese a su mala fama, uno de los negocios más rentables del momento fueron las corseterías para los ajuares. Esta prenda influirá más tarde en los bustiers de Christian Dior y de Jean Paul Gautier.
            ","moda"
"10","Edgar Degas","En la sombrerería","1882","
                Degas fue el primogénito de una adinerada familia. Abandonó tempranamente los estudios de Derecho para dedicarse a la pintura. Artista que estuvo siempre vinculado al grupo impresionista, aunque se veía a sí mismo como un pintor realista. Durante toda su carrera se interesa por el universo femenino y especialmente por el mundo de la moda, lo que le llevará a realizar una serie adentrándose en el París de la alta costura, y para ello visitará las boutiques acompañado por sus amigas. Desde el punto de vista social, el Impresionismo fue el movimiento artístico del progresivo bienestar de la clase media. Las jóvenes burguesas de París serán las protagonistas de estos cuadros, disfrutando del tiempo libre y de su incipiente libertad, comienzan a ser esclavas de la moda.
Con el proceso de industrialización y la consiguiente producción en masa, lucir prendas sofisticadas se hizo accesible a una población cada vez mayor.
Esta es la primera obra de la serie de pasteles dedicados a las sombrererías de París. Cuando se expuso provocó una crítica feroz por la rapidez en representar las sedas, plumas, el raso y la paja. Las formas y materiales de los sombreros permiten al artista mostrar su faceta más colorista con brillantes juegos cromáticos y una excelente captación de las texturas.
Las sombrererías se situaban en las calles más elegantes de París, y éstas fueron a su vez protagonistas de lienzos como Rue Saint-Honoré por la tarde. Efecto de lluvia de Camille Pissarro, que vemos en la misma sala.
En el cuadro aparecen dos tipos de sombreros de paja: el sombrero de ala adornado de flores y plumas para pasear bajo el sol de los jardines y el sombrero capota, sujeto con cintas por debajo de la barbilla, que envuelve completamente la cabeza impidiendo la visibilidad lateral. Tiene su precedente en las cofias de siglos anteriores.
El uso de la sombrilla se generaliza de forma definitiva a partir de 1830. Desde entonces y durante casi un siglo, se convierte en un objeto indispensable para las mujeres. Los parasoles proporcionaban un toque de elegancia tanto por la riqueza y variedad de sus materiales como por las peculiaridades de su manejo. A lo largo del siglo XIX las normas de la elegancia y el decoro se ocuparon de regular su uso. Junto con el abanico, los guantes y el pañuelo, la sombrilla contó con su propio lenguaje.
Otro ejemplo, Mujer con sombrilla en un jardín de Pierre-Auguste Renoir, en la sala anterior, nos muestra la importancia de la sombrilla en el universo femenino.
            ","moda"
