"","Artista","Obra","Fecha","Texto","Tema"
"1","Lucas Hugensz. van Leyden","Los jugadores de cartas","hacia 1520","
                Los juegos de cartas se inventaron probablemente en Asia oriental, desde donde llegaron a Europa a finales de la Edad Media. Existen infinidad de leyendas sobre el origen de estos juegos y casi todas están relacionadas con el entretenimiento y la magia. También hay diferentes opiniones acerca de si surgieron en la India, en China o en Egipto; no obstante la opinión general es que habrían nacido en China en el siglo XII. A partir de ese momento su uso se expandió por Europa, lo que produjo diversos modelos de barajas según los países. Su éxito fue tal que incluso estuvieron prohibidos en algunas épocas. Sin embargo, no fue hasta el siglo XVI cuando su uso se popularizó y se convirtió en un tema habitual en la pintura. Desde entonces hasta nuestros días los juegos de naipes han desempeñado un papel relevante en la historia del arte. El pintor holandés Lucas van Leyden fue uno de los primeros en representar este asunto en el Renacimiento, cuando aún no era un tema tan habitual. Asimismo, durante el Barroco gozó de un gran apogeo, y artistas de la talla del gran genio italiano Caravaggio y del francés Georges de La Tour lo convirtieron en un asunto recurrente en su obra. Posteriormente, en los siglos XIX y XX, también conocidos maestros como Cézanne y Otto Dix lo convirtieron en asunto de sus lienzos. En esta obra Van Leyden nos presenta a tres personajes que juegan a las cartas con una baraja en la que, como era usual en la época, las figuras representarían personajes heroicos. La obra se ha interpretado en dos sentidos diferentes. El primero lo considera una alegoría del Amor, y la figura de la izquierda que sostiene el rey de picas representaría al ganador; el segundo le otorga un significado político al identificar a este mismo personaje con el emperador Carlos V, a la mujer con su tía Margarita de Austria, regente de los Países Bajos, y al tercero con el cardenal Thomas Wolsey, embajador del rey Enrique VIII de Inglaterra, todos retratados, supuestamente, en plena conspiración contra Francia y su monarca Francisco I. 
            ","ocio"
"2","François Clouet","La carta amorosa","hacia 1570","
                François Clouet fue uno de los más destacados pintores del renacimiento francés. Su obra muestra un fuerte estilo personal con influencias de la pintura italiana, flamenca y, más concretamente, de la escuela de Fontainebleau, y fue especialmente apreciado por sus dibujos y óleos de retratos de corte.Los tres personajes de esta pequeña tabla parecen extraídos de una escena de la célebre Commedia dell’Arte, un teatro de carácter popular que nació en Italia durante el siglo XVI y que muy pronto obtuvo un gran éxito en Francia. Sus argumentos eran sencillos y casi siempre narraban las desventuras y los lances amorosos de distintas parejas de enamorados. Clouet sitúa en el centro de la composición a la joven mujer, la enamorada, cubierta únicamente por un velo transparente y que mira de frente con un gesto ambiguo y complaciente buscando la complicidad del espectador. A su lado, la celestina, una mujer anciana que sujeta en su mano una carta doblada en la que puede leerse «A ma Dame Ma Dame Luc … A Paris» posiblemente escrita por el enamorado, un hombre ataviado según la moda imperante de finales del siglo XVI que luce un pendiente y una cuidada barba y que contempla embelesado a la joven. Este juego de miradas crea una cierta tensión sensual, y nos convierte en voyeurs de la trama secreta que se está desarrollando en la escena. El tema de las cartas de amor o billet doux que comienza a representarse en la pintura francesa del siglo XVI, en parte por el desarrollo del servicio postal, se popularizará durante el XVII en Holanda con ejemplos tan conocidos como La carta de amor de Vermeer (hacia 1669) conservado en el Rijksmuseum de Ámsterdam, y posteriormente, durante el siglo XVIII francés con pinturas de François Boucher, Jean-Honoré Fragonard y Jean-Baptiste Siméon Chardin. Consideradas como escenas de género, estas pinturas habitualmente representan a un personaje femenino que recibe o lee una misiva amorosa en un interior doméstico. La carta se convierte así en un elemento secreto entre el personaje que la sostiene y el espectador, y crea una atmósfera de misterio y a veces de revelación, cuando el pintor deja parte de ella legible a nuestros ojos, lo que inevitablemente nos lleva a intentar reconstruir la historia. 
            ","ocio"
"3","Giuseppe Maria Crespi","Retrato del Conde Fulvio Grati","hacia 1720 - 1723","
                Crespi fue un destacado pintor del barroco tardío boloñés especializado en la pintura de género, a la que aportó nuevos matices como una paleta más atrevida, posiblemente por influencia de las obras de Tiziano y Veronés que pudo conocer en su viaje a Venecia. Tuvo como mecenas a Fernando de Médicis, lo que le permitió estudiar la colección de pinturas flamencas y holandesas de esta familia, aspectos todos ellos que influyeron en su arte. Esta no es la única obra en la que Crespi describe una escena con instrumentos, por lo que se cree que estableció algún tipo de relación con los círculos musicales boloñeses, y que él mismo, como el propio retratado, era un apasionado de la música. Por la cantidad de pinturas que durante el Barroco representan escenas de pequeños conciertos así como bodegones o interiores con instrumentos musicales, se deduce que en Italia, la música se había convertido en un divertimento muy extendido. Bolonia era, desde finales del siglo XVII, el foco más importante de la música de cámara, en la que la composición es interpretada por unos pocos instrumentos, y como su nombre indica, es una música más íntima que la escrita para los grandes conciertos.En este lienzo de gran formato Crespi retrata al conde Fulvio Grati, personaje perteneciente a la nobleza de Bolonia. Grati, que ocupa el centro de la composición, abraza un gran laúd barroco en el que el pintor ha descrito, con gran detalle, el cuello, el clavijero y el cordal pero, sobre todo, el rosetón. Su otro brazo extendido sujeta una mandolina que descansa sobre una mesa vestida con un mantel azul. Este instrumento fue muy popular en Italia desde el siglo XVII. Tras él aparece en la penumbra la silueta de un arpa apenas esbozada. El conde está acompañado por dos asistentes, uno de los cuales aparta un pesado cortinaje, con lo que la escena adquiere el aspecto de un teatrillo, mientras que en el primer plano de la pintura, un paje, ricamente vestido, sujeta dos álbumes de música. Por los pentimenti o arrepentimientos que se observan a simple vista, la postura de este último personaje fue corregida por el pintor. La escena de interior se completa con la presencia de un perro que mira al espectador y con el detalle de un excepcional bodegón con objetos relacionados con la música, como un libro y varias partituras contenidas en el estuche del laúd que reposa sobre el suelo.
            ","ocio"
"4","Pietro Longhi","Las cosquillas","hacia 1755","
                Pietro Longhi, a quien el historiador francés André Chastel llamó «el Molière de la pintura», fue un observador atento a la sociedad de su tiempo, cuyas costumbres reflejó en sus óleos. Los salones venecianos de las clases sociales elevadas fueron uno de los temas recurrentes en su obra, como se aprecia en esta tela, en la que una anécdota intrascendente se transforma en un tema digno de ser pintado. La relación de la pintura de Pietro Longhi con el teatro, y en especial con la producción del famoso dramaturgo Carlo Goldoni, es evidente. Ambos artistas fueron contemporáneos y, desde sus propias perspectivas, trazaron una imagen real del mundo veneciano del siglo XVIII, en el que se dan cita nobles, pobres, mendigos y gente común. Longhi organiza esta pintura como si se tratara de una escena de teatro. Una luz potente ilumina a los cuatro personajes que, por su posición, parecen estar sobre un escenario desde donde la muchacha pide con su gesto el silencio y la complicidad del espectador para que no haga ruido y el joven pueda continuar dormitando. Una travesura inofensiva y trivial que, bajo la mirada atenta y la connivencia de dos féminas más, ayuda a pasar el tiempo de forma divertida. El joven, abandonado al sueño, a quien se acaricia el cuello con una pluma, descansa en una postura poco decorosa pero creíble en un momento de privacidad y relajo. El interior revela la estancia de cualquier palacio veneciano que ha sido rehabilitado para seguir las tendencias de la moda. Así, sus paredes se han cubierto con una delicada tela verde que recuerda el color del agua de los canales y que hace juego con los pesados cortinones que ocultan una ventana e impiden la entrada de la luz. Con ello se logra un entorno agradable que invita a la intimidad y a la relajación del personaje masculino. Los muebles y objetos que se agrupan en la estancia siguen la línea del rococó, estilo en boga en vida de Pietro Longhi, y reflejan el gusto de sus moradores. Los tonos son suaves y tenues, los dorados de sus remates sutiles y en su diseño predomina el movimiento ondulado, como se aprecia en las patas de la silla de la derecha o en los detalles que rematan, en un plano más alejado, el sofá. El gusto por la decoración y la moda de interiores de la alta sociedad veneciana se percibe en pormenores como la talla del marco dorado, casi en el centro, trabajado con rocallas y veneras, a juego con el resto del mobiliario de la estancia y en la que se integran a la perfección los personajes de la escena.
            ","ocio"
"5","David Teniers II","Fumadores en un interior","hacia 1637","
                En el norte de Europa las obras con escenas de la vida cotidiana eran muy del gusto de la boyante burguesía acomodada. En ellas los artistas retratan a figuras jugando a las cartas, desempeñando sus labores domésticas o en fiestas campesinas, y también a personajes bebiendo o fumando como en la tabla que nos ocupa. Teniers fue una de las figuras más relevantes de la pintura flamenca del siglo XVII, y aunque el tema lo tomó de Adriaen Brouwer, esta obra es un ejemplo de los logros del artista en lo relativo a la composición y el tratamiento del espacio. Destaca asimismo el colorido de las vestimentas de los personajes y la representación de los objetos, que constituyen un bodegón en sí mismos. Es curiosa la cabeza masculina que observa la escena desde una ventana por la que entra la luz del exterior. El tabaco es originario de América, donde se utilizaba con fines medicinales, y se conocen representaciones de los indígenas autóctonos fumando sus hojas. No obstante, su desembarco en Europa, y más concretamente en España, se produce en el siglo XVI, introducido precisamente por los expedicionarios que regresaron de aquel continente. Entre las primeras manufacturas que se establecieron en la península se hallan las ubicadas en Sevilla. Los europeos convirtieron el acto de fumar en un hábito de tipo lúdico y social, y el consumo de tabaco en el viejo continente era ya algo habitual en el siglo XVII. En esta pintura los personajes representados en el primer plano gozan del placer de fumar en pipa y de un rato de ocio en una taberna, mientras al fondo observamos a otro grupo de hombres bebiendo y jugando a las cartas. El artista se recrea en reflejar cómo la figura del grupo principal, con chaqueta en tono rosado, disfruta de la bocanada que acaba de dar a su pipa, de la que observamos el humo que inunda el ambiente.
            ","ocio"
"6","Pieter Hendricksz. de Hooch","La sala del concejo del Ayuntamiento de Amsterdam","hacia 1663 - 1665","
                El ayuntamiento de Ámsterdam de  la pintura de Pieter de Hooch, hoy conocido como Palacio Real, está situado en una de las plazas más vitales de la capital holandesa: la plaza Dam. El edificio domina con sus proporciones este espacio urbano, de planta irregular, para compartir protagonismo con la Nieuwe Kerk y el obelisco del monumento a la Liberación. El exterior de esta construcción pública y su entorno fue un tema habitual en las pinturas de los artistas holandeses del siglo XVII, que tomaron como modelos para sus óleos tanto la plaza como el Ayuntamiento o sus edificios aledaños. Sin embargo, las obras que reproducen su interior son más escasas, y de ahí la importancia de este lienzo, en el que se deja constancia del aspecto de una de sus salas más emblemáticas, símbolo del poder de la ciudad y que además es testimonio de lo que fue una jornada de ocio cultural en Ámsterdam en la primera mitad de la década de 1660. La sala que representa Hooch era el lugar de reunión de los burgomaestres de la ciudad y se podía visitar cuando estaba libre de la celebración de actos y sesiones. En la actualidad el interior no ha variado mucho, salvo por la batería de contraventanas inferiores que no existe o el acabado de las paredes, que tampoco encontramos hoy. En el recinto histórico se dan cita varios grupos de personas que, al igual que los turistas actuales, se acercan al lugar para admirar su decoración, las obras de arte que se reúnen allí o para conocer el sitio desde donde se gobierna la ciudad. A la sala acuden los visitantes en parejas, como la que vemos a la izquierda; en familia, como la que admira el conjunto con la espectacular chimenea, o individuos solos como el muchacho que en señal de respeto retira el sombrero de su cabeza o la mujer que mira a través de una de las ventanas. Uno de los focos de atención más llamativos es el caballero que, en primer plano, vestido elegantemente, con espada y apoyado en un delicado bastón, contempla absorto la gran pintura situada frente a él. Se trata de una obra de Govert Flinck titulada Marco Curio Dentato rechazando los regalos del embajador Samnita. Compañera de la pintura La audacia del cónsul Cayo Fabricio Luscino en el campamento del rey Pirro de Ferdinad Bol, que es la que nosotros vemos, ambas aludían con sus temas a la incorruptibilidad y al heroísmo que debían acompañar a los dirigentes, y que en este espacio del Ayuntamiento adquirían una lectura clara, pues enviaban un mensaje contundente a sus moradores: les recordaba dos modelos morales de rectitud que debían estar presentes en sus mandatos.
            ","ocio"
"7","Jan Josephsz. van Goyen","Paisaje invernal con figuras en el hielo","1643","
                Jan Josephsz. Van Goyen fue un destacado pintor de paisajes holandés. Esta tabla, que pertenece a su época de madurez, se caracteriza por la amplitud de sus horizontes, conformados a base de líneas horizontales y por incluir una franja de tierra en la que el artista sitúa la ciudad. La urbe representada en este cuadro se ha identificado con Dordrecht y en ella encontramos casas, una iglesia y varios molinos, construcción característica de los Países Bajos. La iglesia que se erige junto al río es la Grote Kerk vista desde su lado norte. Esta iglesia protestante se incendió en 1457 y fue reconstruida entre 1460 y 1502. Resalta su planta basilical y la torre, que carece de la característica aguja en la que debería terminar. El gran río helado es el Oude Maas, protagonista de la pintura junto con el elevado número de figuras y barcos representados, que conforman las diferentes escenas que pueblan la obra. Esta se ambienta en la estación invernal, cuando el río está helado y los personajes están captados en sus momentos de ocio y diversión, realizando diferentes actividades: unos pescan en el río, otros pasean en trineo en grupos o patinan sobre el hielo, y tanto jóvenes como mayores juegan con unos palos parecidos a los del actual hockey. Aunque este deporte tal y como lo conocemos hoy día se originó en el siglo XIX, se tiene constancia por dibujos y obras como la que nos ocupa de que ya se jugaba a algo parecido en terrenos helados en los Países Bajos y el Reino Unido. Asimismo, el patinaje era una práctica habitual en Holanda en el siglo XVII tanto por necesidad como por diversión. Destaca la representación de los sencillos patines que portan los protagonistas, y que consistían simplemente en huesos afilados atados al pie mediante unas tiras de cuero.
            ","ocio"
"8","Johan Zoffany","Retrato de grupo con sir Elijah y lady Impey","hacia 1783 - 1784","
                Johan Zoffany fue un pintor inglés especializado en las denominadas «piezas familiares de conversación» que gozó de gran reconocimiento en su época. La reina de Inglaterra le encomendó que pintara La tribuna de los Uffizi en Florencia. Lamentablemente, a su vuelta de Italia el gusto artístico había cambiado y sus antes apreciadas composiciones habían pasado de moda. Esto provocó que se embarcara rumbo a la India en busca de nuevos clientes. Allí encontró un numeroso grupo de altos funcionarios y de miembros de la élite británica de la colonia que seguían disfrutando de sus características obras. En este lienzo el artista retrató a sir Elijah y lady Impey con tres de sus siete hijos en un momento de celebración de una pequeña fiesta. La familia goza de un rato de diversión escuchando la música y viendo bailar a sus hijos. En la escena se observa a una niña con vestimenta hindú bailando, probablemente su hija Marian, mientras sir Elijah la anima batiendo las palmas. La pequeña tiene su mano derecha en alto en un movimiento característico de la danza india. A la derecha, el artista ha representado a un grupo de músicos con exóticos turbantes y vestimentas de tonos claros formado por seis instrumentistas: el de la izquierda toca una guimbarda, instrumento popular tanto en la India como en Europa; a su lado observamos a un músico con una tānpara, instrumento de cuerda similar al laúd con mango largo y caja de resonancia hemiesférica usada para acompañar al canto; a continuación otro intérprete que, mientras sonríe, percute una tābla, doble instrumento de parche y el más popular de la India que está formado por dos tambores y que sostiene el personaje mediante la tela color caldero que lleva anudada a la cadera; el siguiente es un violinista que aparece retratado junto a otro músico que toca una pequeña pandereta denominada kānjira en la India; y por último vemos al músico que porta el triángulo. Detrás de ellos destaca la figura de un niño de identidad desconocida con unos kārtals, crótalos en castellano, de los que son una variante nuestras castañuelas.
            ","ocio"
"9","Jean Antoine Watteau","Pierrot contento","hacia 1712","
                En el claro de un frondoso jardín e iluminado por un foco de luz que se filtra entre la maleza, Pierrot ocupa el centro de la composición desde donde sentado mira al espectador. Esta figura era originaria de la Commedia dell’Arte italiana, y fue gracias a su formación en París con Claude Gillot, como Watteau entró en contacto con el teatro y, más concretamente, con los comediantes italianos entonces de moda en aquella ciudad. Este tema fue recurrente en la producción de Watteau, tanto en sus pinturas como en una serie de dibujos. Aquí el personaje de Pierrot se ha adecuado al gusto francés, perdiendo su picaresca original y convirtiéndose en un soñador, enamorado de la luna y algo triste. El título de la obra bien podría hacer referencia a una canción popular que decía «Qué contento estaría Pierrot si tuviera arte para complaceros». Pierrot aparece flanqueado por dos figuras femeninas elegantemente vestidas según la moda rococó que había nacido en Versalles y París, y que se caracterizaba por un gusto por los colores brillantes, las telas de seda, satén y terciopelo, exuberantes y excesivas, adornadas por volantes y lazos, así como por los peinados muy elaborados. Los abanicos se enriquecieron también con nácar y encajes, y se creó un código secreto en torno a los gestos que las damas hacían valiéndose de este objeto. Una de las jóvenes mira embelesada a Mezzetin, sentado en el otro extremo, y sujeta su abanico cerrado apoyado en su barbilla, con lo que quiere decirle: «¿me quieres?». Sin embargo, Mezzetin no corresponde a su mirada, sino que contempla absorto a la otra figura femenina que ameniza la velada tocando la guitarra. Este instrumento, típico de los siglos XVII y XVIII era muy popular en España, sin embargo, parece que fue introducido en Francia gracias a los saltimbanquis de feria italianos. Watteau fue el maestro por excelencia del rococó francés, y este óleo temprano dentro de su producción forma parte de un grupo de obras llamadas «pinturas galantes», denominación creada por la propia Academia para designar, precisamente, los lienzos de este pintor en los que se narran escenas donde varios personajes, normalmente en paisajes al aire libre, disfrutan de la música, la poesía y el cortejo amoroso. 
            ","ocio"
"10","Jean-Honoré Fragonard","El columpio","hacia 1750 - 1752","
                Fragonard es junto a Boucher, Chardin y Watteau uno de los artistas más destacados de la pintura francesa del siglo XVIII y uno de los mayores exponentes de la pintura galante, denominación que hace referencia a un tipo de obras caracterizadas por los colores vivaces y los temas alegres. Durante este periodo existe una preferencia por representar escenas de género en interiores o escenas festivas en jardines o bosques, en las que los personajes, ociosos y ricamente vestidos, disfrutan de la música, los paseos, la poesía y el coqueteo. Acorde con el carácter hedonista de este tipo de pinturas, son muy habituales también las series donde se representan las distintas estaciones del año con escenas de divertimento asociadas al aspecto que presenta la naturaleza en cada momento. En un segundo plano quedan los temas religiosos o las pinturas de historia. Este tipo de obras de pequeño formato respondían al encargo de una clientela noble y aristócrata, y está en consonancia con el gusto rococó que también impregna la arquitectura de palacios y palacetes así como las artes decorativas. Esta pintura de época temprana, donde Fragonard ya muestra interés por dos de sus temas preferidos, el amor y la naturaleza, describe una escena de juego. Como en una alegoría de la pasión, la joven se divierte en lo más alto del columpio adonde ha llegado con ímpetu gracias al impulso del joven que hace contrapeso desde el lado opuesto ayudado por dos niños que podrían compararse a dos pequeños cupidos que velan por el amor de la joven pareja. La escena se desarrolla en un frondoso jardín donde la exuberante naturaleza se complementa con el bodegón que en primer término describe exquisitas frutas. El artista juega con maestría con la luz y los atrevidos colores para construir las figuras. El tratamiento de los pliegues y los reflejos que emanan de las vaporosas telas confieren movimiento y ligereza a la figura de la joven, que parece estar suspendida en el aire.Este lienzo es pareja de la obra titulada La gallinita ciega hoy en el Toledo Museum of Art (Ohio) y puede considerarse el precedente más claro de la célebre pintura El columpio conservada en la Wallace Collection de Londres.
            ","ocio"
