"","Artista","Obra","Fecha","Texto","Tema"
"1","Rogier van der Weyden","La Virgen con el Niño entronizada","hacia 1433","
                En sus inicios, y en contraposición a la sobreabundancia floral del paganismo grecorromano, el cristianismo se resistirá a aceptar las imágenes procedentes del mundo natural como medio para expresar la belleza espiritual. Sin embargo, tras el largo invierno de los primeros siglos del Medievo, caracterizados por la penuria de representaciones botánicas, sobrevendrá a partir del siglo XIII una nueva primavera, cuando se asuma el valor de las imágenes para trasmitir los misterios de la fe a los fieles —muchos de ellos analfabetos— y las flores vuelvan a ocupar en el imaginario religioso un lugar privilegiado como símbolos de una verdad trascendente.
En esta sala podrán admirar varias obras realizadas por los primitivos flamencos que dan fe del extraordinario florecimiento del culto a la Virgen, identificada como la novia del Cantar de los Cantares, la reina de los cielos y la intercesora para la salvación de la humanidad. El hieratismo heredado de la tradición bizantina dará paso en lo que ha sido denominado «el otoño de la Edad Media» a representaciones más tiernas que ponen de relieve la relación entre madre e hijo.
Cada imagen encarnaba una verdad espiritual, y participaba en un código cósmico de significados, compartido en sus elementos básicos tanto por la cultura popular como por los espectadores más eruditos, quienes extraían de tales símbolos mensajes más complejos.
En la tabla de Van der Weyden se muestra a la Virgen como personificación de la Iglesia dentro de una estructura arquitectónica que nos remite a su papel como intercesora. Los profetas a ambos lados de la hornacina actúan como sustento de las escenas del registro superior: Anunciación, Visitación, Natividad, Adoración de los Magos, Resurrección y Pentecostés, con la Coronación en el centro. Un detalle significativo es la presencia de cuatro huecos para insertar el andamiaje, que bien podrían aludir a los evangelistas, mediadores entre el Antiguo Testamento y el Nuevo.
A pesar del pequeño tamaño de la obra, las flores que se adivinan a ambos lados de la escena son perfectamente reconocibles, es decir, que hay una intencionalidad por parte del pintor en que se identifiquen especies concretas relacionadas con la iconografía religiosa cristiana: la aguileña, la altea o malvavisco, la peonía y el lirio. Los motivos decorativos de la estructura arquitectónica aluden también a elementos vegetales como las hojas de acanto, la roseta o los tréboles, que nos transmiten un mensaje trinitario.
Otras obras en la misma sala contienen un rico lenguaje floral, como La Virgen del Árbol Seco, de Petrus Christus, que podría ser interpretada como la «rosa sin espinas » rodeada de una corona alusiva al rosario; La Virgen con el Niño y dos ángeles, del Maestro de la leyenda de Santa Úrsula, en la que el clavel simboliza los clavos de Cristo, y por lo tanto la Pasión (al igual que en el Llanto sobre el cuerpo de Cristo muerto, tapiz que se encuentra en la siguiente sala); o La Virgen con el Niño entre ángeles, del Maestro de la Madonna André; y La Virgen con el Niño, de un seguidor de Dirck Bouts, donde la Virgen aparece representada en el hortus conclusus, en referencia a un pasaje de El Cantar de los Cantares: «Huerto cerrado eres, hermana mía, esposa mía; huerto cerrado, fuente sellada».
            ","flores"
"2","Hans Memling","Florero (reverso)","hacia 1485","
                El reverso de esta tabla de Memling, que quizás formó parte de un díptico o un tríptico, es una de las primeras naturalezas muertas en la historia de la pintura occidental. Aunque aún imbuida de connotaciones religiosas y morales, resulta representativa del tránsito que se produce en el Renacimiento hacia una valoración de la naturaleza desde el punto de vista estético.
Por otra parte, el recipiente está adornado con el anagrama de Cristo y nos trasmite la idea de que un alma pura y fragante puede albergarse en un cuerpo perecedero, del mismo modo que esta humilde vasija de barro contiene un hermoso ramo con tres de las flores más representativas de la iconografía cristiana: la azucena, el lirio y las aguileñas, que además se encuentran representadas en grupos de tres reforzando así la idea de la Trinidad. La azucena, debido a la pureza de su color blanco y su aroma, se asoció inmediatamente con la Virgen María, como símbolo de pureza, inocencia y castidad. El lirio tendrá un doble significado: por un lado como atributo de Cristo y símbolo de redención, y por el otro como atributo de la Virgen. Las aguileñas por su parte representan al Espíritu Santo, dado que sus flores toman la forma de una paloma.
El visitante encontrará las mismas especies en el florero representado en La Anunciación, de Jan de Beer, en la Sala 10. Si lo desean, pueden dirigirse a la Sala 11, donde se conserva La Inmaculada Concepción, de El Greco y Jorge Manuel Theotokópoulos, obra en la que abundan los símbolos marianos.
            ","flores"
"3","Juan de Flandes","Retrato de una infanta. Catalina de Aragón (?)","hacia 1496","
                En el Renacimiento los artistas se servirán de ciertos objetos para dar una mayor elocuencia a sus retratos: joyas como indicadores de posición social o plantas como encarnación de determinadas virtudes.
La rosa que ostenta esta joven es una clave fundamental en los intentos por desvelar su identidad. Hay indicios que apuntan hacia Catalina de Aragón, entre ellos el indudable parecido que muestra con un retrato de Juana la Loca, también de Juan de Flandes, que se conserva en el Kunsthistorisches Museum (Museo de Historia del Arte) de Viena.
De acuerdo con esta hipótesis, se ha sugerido que la flor sería el emblema de los Tudor, como correspondería a una princesa que contrajo matrimonio con Arturo, príncipe de Gales, antes de convertirse en la malhadada esposa de Enrique VIII, cuyo retrato realizado por Hans Holbein el Joven se encuentra en esta misma sala.
Otra interpretación sostiene que al tratarse de un capullo, y no de una flor abierta, aludiría más bien a su condición virginal, lo que encaja con la corta edad de la modelo. En este momento, además, y de acuerdo con la datación propuesta, ella aún no estaría vinculada a la Monarquía inglesa, sino que era pretendida por varias casas. Quizás la imagen sirvió para llevar a cabo negociaciones matrimoniales, dentro de la política de alianzas emprendida por los Reyes Católicos.
Una tercera posibilidad asocia la flor a un retrato de esponsales, lo que vendría a reforzar la hipótesis de que la retratada fuera la infanta María, quien en 1500 se convirtió en reina de Portugal por su unión con Manuel I.
Otro retrato de esponsales en esta misma sala es el Autorretrato de Joos van Cleve, en el que el artista lleva un clavel como símbolo de amor conyugal y fidelidad por su discreto perfume y lo duradero de su floración. Lo habitual, sin embargo, era que fuera la dama quien ostentara este símbolo de devoción, mientras que el caballero iba acompañado de indicadores de su poder o condición social, como se puede observar en el retrato doble de Bartel Bruyn en la Sala 8. Símbolos florales también representativos de la fidelidad en este tipo de retratos son el cardo (denominado en la lengua popular alemana como «fidelidad de hombres») o las plantas trepadoras como la hiedra, la parra o la madreselva.
Si se dirigen a la Sala 9 podrán admirar el Retrato de Ana de Hungría y Bohemia, de Hans Maler. No se ve flor alguna, pero gracias a las modernas técnicas de restauración se sabe que permanece oculta bajo la pintura, algo que se deduce además de la postura de la mano. Por algún motivo la retratada decidió que se eliminara.
            ","flores"
"4","Paris Bordone","Retrato de una joven","hacia 1543 - 1550","
                Desde la Antigüedad la rosa se convirtió en atributo de la belleza femenina y el juego amoroso. La dama representada por Paris Bordone, formado en el taller de Tiziano, se nos muestra como una mujer-flor envuelta en un vestido que se asemeja a una corola. El recipiente con sátiros esculpidos contiene flores abiertas —en contraste con la casta rosa en manos de la infanta retratada por Juan de Flandes en la Sala 5— y en el ángulo superior izquierdo se observa un mono, animal considerado ya desde la Edad Media como emblema de la glotonería.
Cabría sugerir una interpretación en torno a los sentidos, imbuidos de valores de género de acuerdo con el sistema simbólico vigente en tiempos premodernos. A un nivel básico, se asociaba el intelecto con el hombre, mientras que lo femenino se asociaba con el cuerpo y lo sensorial. Por tanto, el hombre se vinculaba a los sentidos más racionales de la vista y el oído, y la mujer a los más bajos, en esta escala jerárquica, más «corporales», del tacto, el olfato y el gusto.
En esta misma sala se puede contemplar el lienzo de El rapto de Europa, de Simon Vouet, en el que Zeus —encarnado en un toro blanco y coronado por una guirnalda— se dispone a huir con la bella Europa. Muchos mitos griegos que narran la seducción de muchachas por los dioses se inician con una escena en la que éstas recogen flores: Perséfone y Hades, Talía por Zeus y Creusa por Apolo.
Las coronas de flores trenzadas para adornar la cabeza del ser amado aparecen recurrentemente en el arte y concretamente en las escenas de cortejo ambientadas en jardines, aunque en el mundo clásico los usos de las coronas vegetales se extendían también al ámbito militar, funerario, religioso, festivo, nupcial o natalicio.
            ","flores"
"5","Vittore Carpaccio","Joven caballero en un paisaje","hacia 1505","
                Mucho se ha especulado sobre esta obra de Carpaccio, cuyo nombre, así como la fecha de realización, aparece en una cartela adherida a una rama a la derecha. Se inserta en la época bisagra que va desde finales del siglo XV hasta principios del XVI, y en el caso de que se tratara de un retrato nos hallaríamos ante el primer ejemplo conocido en el que el cliente posa de cuerpo entero. Existe además un problema de identificación, aunque, de todas las hipótesis, la correspondiente a Francesco Maria de Rovere, duque de Urbino y Capitán General de Venecia, parece ser la más plausible.
Pero, independientemente de su identidad, el lienzo contiene un mensaje cifrado en torno a la alegoría moral del miles christianuso soldado de Cristo, basado en una concepción dualista en la que se yuxtaponen las categorías del bien y el mal, una lucha perpetua reflejada en el enfrentamiento entre el halcón y la garza.
Los animales representados encarnan un catálogo de virtudes que incluyen la pureza (el armiño, junto al cual se lee en un cartellino: Malo mori quam foedari, que podríamos traducir por «Antes morir que ser deshonrado»), la piedad filial (la cigüeña), la caridad (el ciervo), la devoción (la garza), la paciencia (el perro junto al paje), la castidad (el conejo)… Toda una serie de pecados o vicios están presentes igualmente: la avaricia (el halcón rapaz), la soberbia (el pavo real), la ira (el perro acechante al que el caballero parece golpear con su espada), la lujuria (el caballo desbocado que aparece en una enseña), la envidia (las ranas), la gula (el buitre carroñero) y quizás la pereza (el ave limícola que dormita sobre un poste).
De fundamental relevancia para el programa iconográfico es la elección nada arbitraria de las especies vegetales. Éstas se representan con bastante precisión y nos hablan de las virtudes del caballero cristiano: la azucena y el lirio blanco (pureza, inocencia), el lirio cárdeno (relación con la espada por la forma de sus hojas; el color azul símbolo de la nobleza y la realeza); la aguileña o columbina (Espíritu Santo), la violeta en la esquina inferior derecha (humildad y modestia), la vinca en la esquina opuesta (fidelidad y amistad), la camomila sobre el manantial (rejuvenecimiento o fortaleza a través de la virtud), la planta con frutos rojos junto al caballero es el aro (autosacrificio). El árbol desnudo situado en segundo plano pudiera tratarse de un roble aludiendo al rejuvenecimiento y la fortaleza espiritual, o quizás a la posible identificación del joven, en el caso de tratarse de Francesco Maria de Rovere.
Más inquietante es el árbol tronchado situado a la derecha de la escena, del cual pende el cartellino con la firma del pintor. A su lado emergen del terreno unas ramas fructificadas que se han interpretado como zarzas y por lo tanto como algo negativo por la presencia de las espinas. Sin embargo, en las zarzas los frutos se agrupan en racimos y las hojas son diferentes. Quizás no se trate de un arbusto sino de un renuevo del árbol caído, un brote que nace de la raíz aún con vida y que crece con fuerza para sustituirlo.
En ese caso podría tratarse de una morera o de un moral. Si el joven retratado fuese el joven duque de Urbino, el árbol tronchado haría referencia a la muerte del último Montefeltro sin descendencia y el paso del ducado a los della Rovere, mientras que el renuevo que fructifica representaría la continuidad del título en la persona del joven duque. Pero ¿por qué una morera y no un roble? Quizás para hacer hincapié en el fruto (descendencia), quizás haciendo referencia a la floreciente industria de la seda que se estaba desarrollando en ese momento en diversos puntos de Italia.
            ","flores"
"6","Zurbarán","Santa Casilda","hacia 1630 - 1635","
                La producción de Francisco de Zurbarán abunda en imágenes de santas mártires que, en ocasiones, portan flores, como santa Isabel de Hungría, santa Dorotea o santa Casilda, protagonista esta última del lienzo que comentamos y joven musulmana convertida al cristianismo que murió por su fe en el siglo XI. La imagen nos remite a su vez al concepto del olor de santidad, que formaba parte de toda una mitología olfativa que representaba el cielo y el infierno, la salvación y la perdición, en términos de buenos y malos olores, metáforas sumamente adecuadas por su carácter inefable, al igual que la experiencia religiosa.
Esta creencia se basaba en la noción de que los cristianos que vivían en estado de gracia estarían impregnados del aroma divino del Espíritu Santo. De este modo, un alma meritoria se materializa en discretos efluvios, cuyo equivalente pictórico sería la sutil aureola que corona a la santa como signo de la elección.
Complementa la visión de esta obra otra de Murillo, La Virgen y el Niño con santa Rosa de Viterbo, en la sala siguiente.
            ","flores"
"7","Giambattista Tiepolo","La muerte de Jacinto","hacia 1752 - 1753","
                Según el mito, Jacinto era un hermoso joven amado por el dios Apolo. Cuando estaban jugando a lanzarse el disco, la divinidad del viento, Céfiro, movido por los celos, desvió el disco con la intención de matar al efebo. De la sangre derramada brotaría una flor, que ha sido identificada con la espuela de caballero (delphinium ajacis; hyakinthos en griego) o con los lirios, más que con la planta que hoy conocemos como jacinto (Hyacinthus orientalis). Esta última aparece representada en la esquina inferior derecha en sus dos variedades, la de flor simple y la de flor doble muy de moda en el momento en que se realiza el cuadro.
Metáfora de la muerte y renovación de la naturaleza, la peripecia vital de Jacinto contiene una promesa de resurrección, al igual que el ciclo vegetativo, aunque también cabe interpretar su historia como un trasunto de la pederastia en el mundo griego, pues esta práctica institucionalizada dictaba que la relación entre amante y amado tocara a su fin en cuanto éste alcanzara la madurez.
Tiepolo, exponente del canto de cisne del Barroco triunfante, ha recreado la escena en un ambiente que podríamos describir como operístico. Bañados en una claridad difusa, los personajes realizan gestos declamatorios bajo la burlona mirada de la escultura de un sátiro. El artista, además, se ha tomado algunas libertades, como la sustitución del arma arrojadiza por unas pelotas y una raqueta de pallacorda, antecedente del tenis, y la presencia de un ave exótica, un guacamayo jacinto, así llamado por el color de su plumaje.
            ","flores"
"8","Gerrit Adriaensz. Berckheyde","El Nieuwezijds Voorburgswal con el mercado de flores de Amsterdam","1686","
                Berckheyde, especializado en vistas urbanas, representa el canal en el centro de Amsterdam, junto al cual se celebraba el mercado de flores. En el siglo XVII se trasforma la fisonomía de la ciudad como resultado de su inusitada expansión ultramarina. Desde países lejanos, las naves holandesas acuden a la capital cargadas de un fabuloso botín vegetal. Lilos, jacintos, coronas imperiales, fritilarias, azucenas rojas, narcisos dobles o tulipanes comienzan a llegar desde el imperio otomano y se convierten inmediatamente en símbolos de status, exponentes de su absoluto dominio territorial y marítimo pero a su vez de un interés sin precedentes por las plantas como entes singulares dentro del jardín. Los nuevos colores, formas y aromas que lo visten maravillan al visitante.
Los precios astronómicos que alcanzan estas especies exóticas son reflejo de una pasión desbordante por las flores, de formas cada vez más caprichosas. Esta fiebre botánica, en un país cuyos ciudadanos fueron considerados tradicionalmente como la encarnación de la mesura y el sentido común, se ha intentado explicar por el papel que desempeñó en esta época el lujo en una sociedad súbitamente enriquecida que carecía de tradiciones de gasto suntuario vinculadas a las grandes monarquías o al patrocinio de la Iglesia.
            ","flores"
"9","Ambrosius Bosschaert I","Vaso chino con flores, conchas e insectos","hacia 1609","
                La presente sala reúne una serie de hermosos floreros realizados en la edad de oro de la naturaleza muerta en Holanda. Liberadas de su humilde papel dentro de las narrativas sacras o las alegorías mitológicas, las flores se emancipan de su contenido simbólico, convirtiéndose en protagonistas absolutas.
A partir del siglo XVI la botánica va adquiriendo la fisonomía de una ciencia moderna, prestándose una mayor atención a los aspectos morfológicos y clasificatorios, frente a sus virtudes exclusivamente farmacológicas. Esto se ve propiciado por la invención del microscopio a finales del siglo XVI o principios del XVII, que ofrece la posibilidad de indagar en un universo hasta entonces desconocido.
La pintura de flores revela el interés por el coleccionismo exótico, cultivado con pasión por las clases nobles y burguesas. La elección de las flores no se basa exclusivamente en la estética pues, dependiendo de la fecha de la obra, se muestran en las posiciones dominantes del florero las especies más valiosas o exóticas del momento, mezcladas con aquéllas que tradicionalmente aportaban placer en los jardines. Es el caso de la corona imperial que aparece en la obra de Bosschaert y que sin embargo años más tarde quedaría demodée debido a su fétido olor.
Muy apreciados fueron igualmente los tulipanes, importados también desde Turquía, que provocaron un fascinante fenómeno de psicosis colectiva conocido como «tulipomanía». Los ejemplares de bordes raídos y colores variegados eran los más apreciados, como el Semper Augustus. Quienes llegaron a pagar 5.000 florines, el precio de una casa espaciosa, por uno de estos bulbos, ignoraban que en realidad se trataba de flores enfermas atacadas por un virus, algo que sólo se descubriría tiempo después gracias al microscopio electrónico.
Una característica común a todos estos floreros es la negación del paso del tiempo, pues se representan juntas especies que en su estado silvestre nunca florecerían a la vez, superando así el arte a la propia naturaleza.
Al carecer de contenido narrativo aparente, algunos investigadores detectan en estas naturalezas muertas un sentido oculto vinculado al tema de la vanitas: el carácter efímero de las flores incitaría a la reflexión sobre la fragilidad humana. Otra lectura más directa, sin embargo, ve en su belleza una celebración de la prodigalidad de la naturaleza y de la perdurabilidad del arte frente a la caducidad de los seres vivos.
También dignas de atención son las pequeñas criaturas infiltradas en estos coloridos escenarios pictóricos —libélulas, moscas y caracoles—, así como los hermosos floreros chinos y conchas, también indicativos del poderío comercial holandés. Todo un mundo de sensaciones invita al espectador a pasear por esta sala para disfrutar de las obras de artistas como Balthasar van der Ast, Jan Davidsz. de Heem o Jacques Linard.
            ","flores"
"10","Henri Fantin-Latour","Crisantemos en un florero","s.f","
                Henri Fantin-Latour cultivó con pasión tanto el retrato como las composiciones florales, destinadas éstas a los coleccionistas británicos, mientras que sus obras centradas en la representación de la figura humana triunfaban en Francia. Hasta tal punto disoció ambas esferas, que se bromeaba con su carácter dual y le llamaban de las siguientes maneras: «Monsieur Fantin» y «Mister Latour».
Con el tiempo, optó por pasar largas temporadas en el campo, lejos del bullicio de París, y convirtió las flores en el principal motivo de sus obras. Pero, pese a ser contemporáneo de los impresionistas, no eran los jardines de exuberante vegetación o el mundo rural el objeto de su atención, sino las flores cortadas. Cuidadosamente componía los ramos que luego pintaría en la penumbra del taller, casi siempre sobre fondos neutros que enlazan con la gran tradición floral del siglo XVII. En este sentido, las obras de las Salas 32 y 33, consagradas al impresionismo, ofrecen un interesante contrapunto.
No obstante, una diferencia perceptible con respecto a los ramos holandeses, verdaderas antologías florales en las que convivían especies que jamás coincidían en su estado natural, está en la selección de unas pocas variedades, pues a partir de ahora el interés recae en el cromatismo de la composición. En este caso el pintor eligió un nutrido ramo de crisantemos amarillos, blancos, lilas, rosas y rojos, una combinación armónica inspirada por su amor por la música.
Recordemos, por otra parte, que en el siglo XIX se organizan las primeras exposiciones florales y que cobra nuevo ímpetu la pasión botánica, en particular por especies de origen asiático, gracias a la moda del japonisme. Precisamente de Oriente proceden los crisantemos pintados por Fantin-Latour, aunque allí son sinónimo de belleza y vitalidad, mientras que en Occidente, al florecer en otoño, se convertirán en símbolo de luto.
            ","flores"
